"Date","Price","Open","High","Low","Change %"
"03/28/2025","4.471","4.502","4.515","4.468","-1.02%"
"03/27/2025","4.517","4.485","4.518","4.468","1.05%"
"03/26/2025","4.470","4.441","4.481","4.439","0.81%"
"03/25/2025","4.434","4.462","4.470","4.434","0.48%"
"03/24/2025","4.413","4.398","4.424","4.397","0.48%"
"03/21/2025","4.392","4.389","4.412","4.382","0.69%"
"03/20/2025","4.362","4.454","4.454","4.347","-1.38%"
"03/19/2025","4.423","4.408","4.425","4.399","0.43%"
"03/18/2025","4.404","4.407","4.434","4.397","-0.29%"
"03/17/2025","4.417","4.438","4.439","4.403","-0.07%"
"03/14/2025","4.420","4.396","4.428","4.389","-0.07%"
"03/13/2025","4.423","4.469","4.470","4.418","-0.81%"
"03/12/2025","4.459","4.458","4.476","4.441","1.83%"
"03/11/2025","4.379","4.397","4.397","4.343","-0.93%"
"03/10/2025","4.420","4.450","4.458","4.396","0.20%"
"03/07/2025","4.411","4.431","4.449","4.408","-1.69%"
"03/06/2025","4.487","4.408","4.495","4.408","2.77%"
"03/05/2025","4.366","4.338","4.403","4.313","2.25%"
"03/04/2025","4.270","4.296","4.304","4.247","-1.36%"
"03/03/2025","4.329","4.312","4.342","4.257","0.49%"
"02/28/2025","4.308","4.340","4.344","4.304","-0.92%"
"02/27/2025","4.348","4.319","4.364","4.319","-0.09%"
"02/26/2025","4.352","4.361","4.374","4.310","-1.27%"
"02/25/2025","4.408","4.429","4.441","4.397","-1.03%"
"02/24/2025","4.454","4.444","4.478","4.438","-1.66%"
"02/21/2025","4.529","4.517","4.546","4.515","-0.18%"
"02/20/2025","4.537","4.517","4.540","4.509","0.35%"
"02/19/2025","4.521","4.528","4.554","4.515","1.50%"
"02/18/2025","4.454","4.450","4.471","4.432","0.07%"
"02/17/2025","4.451","4.405","4.453","4.395","0.43%"
"02/14/2025","4.432","4.400","4.437","4.397","-1.27%"
"02/13/2025","4.489","4.540","4.542","4.480","0.67%"
"02/12/2025","4.459","4.394","4.466","4.394","1.71%"
"02/11/2025","4.384","4.405","4.422","4.377","-0.25%"
"02/10/2025","4.395","4.395","4.407","4.372","1.10%"
"02/07/2025","4.347","4.342","4.357","4.329","0.79%"
"02/06/2025","4.313","4.313","4.319","4.295","-1.64%"
"02/05/2025","4.385","4.421","4.466","4.378","-0.97%"
"02/04/2025","4.428","4.405","4.456","4.403","1.33%"
"02/03/2025","4.370","4.456","4.472","4.351","-1.38%"
"01/31/2025","4.431","4.363","4.432","4.362","0.75%"
"01/30/2025","4.398","4.391","4.409","4.377","0.78%"
"01/29/2025","4.364","4.420","4.442","4.364","-1.53%"
"01/28/2025","4.432","4.400","4.486","4.395","-0.89%"
"01/24/2025","4.472","4.503","4.513","4.467","-0.11%"
"01/23/2025","4.477","4.475","4.497","4.462","0.20%"
"01/22/2025","4.468","4.434","4.470","4.430","1.15%"
"01/21/2025","4.417","4.472","4.483","4.410","-1.74%"
"01/20/2025","4.495","4.510","4.531","4.493","0.00%"
"01/17/2025","4.495","4.482","4.526","4.479","-0.66%"
"01/16/2025","4.525","4.520","4.536","4.435","-2.50%"
"01/15/2025","4.641","4.644","4.712","4.633","0.19%"
"01/14/2025","4.632","4.646","4.721","4.616","-0.39%"
"01/13/2025","4.650","4.609","4.666","4.590","2.69%"
"01/10/2025","4.528","4.507","4.537","4.500","0.60%"
"01/09/2025","4.501","4.524","4.546","4.496","-0.11%"
"01/08/2025","4.506","4.522","4.546","4.466","0.67%"
"01/07/2025","4.476","4.483","4.544","4.466","0.31%"
"01/06/2025","4.462","4.435","4.476","4.417","1.59%"
"01/03/2025","4.392","4.445","4.445","4.391","-0.95%"
"01/02/2025","4.434","4.405","4.444","4.404","1.53%"
"12/31/2024","4.367","4.429","4.429","4.367","-2.67%"
"12/30/2024","4.487","4.427","4.491","4.427","2.35%"
"12/27/2024","4.384","4.417","4.431","4.382","-1.46%"
"12/24/2024","4.449","4.448","4.456","4.423","0.75%"
"12/23/2024","4.416","4.444","4.454","4.391","-1.91%"
"12/20/2024","4.502","4.489","4.510","4.462","2.11%"
"12/19/2024","4.409","4.361","4.411","4.355","2.61%"
"12/18/2024","4.297","4.312","4.315","4.269","-0.16%"
"12/17/2024","4.304","4.333","4.341","4.294","-0.39%"
"12/16/2024","4.321","4.335","4.350","4.315","0.16%"
"12/13/2024","4.314","4.324","4.333","4.296","0.42%"
"12/12/2024","4.296","4.176","4.300","4.176","2.19%"
"12/11/2024","4.204","4.161","4.207","4.151","-0.36%"
"12/10/2024","4.219","4.269","4.270","4.215","0.00%"
"12/09/2024","4.219","4.224","4.294","4.184","-0.66%"
"12/06/2024","4.247","4.244","4.268","4.236","0.17%"
"12/05/2024","4.240","4.220","4.243","4.195","-0.38%"
"12/04/2024","4.256","4.328","4.350","4.255","-1.02%"
"12/03/2024","4.300","4.275","4.302","4.272","-0.81%"
"12/02/2024","4.335","4.315","4.337","4.291","-0.85%"
"11/29/2024","4.372","4.363","4.393","4.344","-0.16%"
"11/28/2024","4.379","4.378","4.409","4.309","-1.24%"
"11/27/2024","4.434","4.431","4.457","4.375","-0.05%"
"11/26/2024","4.436","4.406","4.443","4.345","-1.11%"
"11/25/2024","4.486","4.530","4.539","4.459","-1.82%"
"11/22/2024","4.569","4.577","4.587","4.557","-0.22%"
"11/21/2024","4.579","4.575","4.600","4.574","0.44%"
"11/20/2024","4.559","4.531","4.571","4.525","-0.15%"
"11/19/2024","4.566","4.577","4.579","4.558","-1.13%"
"11/18/2024","4.618","4.593","4.632","4.587","-0.56%"
"11/15/2024","4.644","4.653","4.683","4.641","-1.25%"
"11/14/2024","4.703","4.658","4.713","4.658","0.49%"
"11/13/2024","4.680","4.643","4.680","4.631","2.54%"
"11/12/2024","4.564","4.576","4.595","4.558","-0.54%"
"11/11/2024","4.589","4.528","4.592","4.492","0.70%"
"11/08/2024","4.557","4.592","4.595","4.545","-1.96%"
"11/07/2024","4.648","4.638","4.663","4.627","-0.77%"
"11/06/2024","4.684","4.537","4.694","4.537","2.58%"
"11/05/2024","4.566","4.567","4.644","4.564","0.07%"
"11/04/2024","4.563","4.615","4.650","4.535","0.18%"
"11/01/2024","4.555","4.555","4.611","4.535","0.82%"
"10/31/2024","4.518","4.499","4.534","4.471","1.19%"
"10/30/2024","4.465","4.454","4.496","4.437","0.20%"
"10/29/2024","4.456","4.467","4.499","4.447","-0.58%"
"10/28/2024","4.482","4.453","4.507","4.452","1.29%"
"10/25/2024","4.425","4.449","4.455","4.380","-0.96%"
"10/24/2024","4.468","4.463","4.509","4.441","0.09%"
"10/23/2024","4.464","4.409","4.475","4.408","1.13%"
"10/22/2024","4.414","4.376","4.415","4.349","2.68%"
"10/21/2024","4.299","4.308","4.316","4.246","-0.26%"
"10/18/2024","4.310","4.302","4.361","4.301","1.70%"
"10/17/2024","4.238","4.188","4.266","4.186","0.67%"
"10/16/2024","4.210","4.174","4.218","4.165","-1.06%"
"10/15/2024","4.255","4.282","4.284","4.237","-0.51%"
"10/14/2024","4.277","4.249","4.290","4.231","1.18%"
"10/11/2024","4.227","4.228","4.247","4.201","-0.02%"
"10/10/2024","4.228","4.210","4.238","4.171","0.93%"
"10/09/2024","4.189","4.206","4.222","4.169","0.02%"
"10/08/2024","4.188","4.197","4.228","4.175","-0.45%"
"10/07/2024","4.207","4.172","4.229","4.172","3.83%"
"10/04/2024","4.052","4.033","4.062","4.031","1.38%"
"10/03/2024","3.997","3.969","4.003","3.924","1.24%"
"10/02/2024","3.948","3.934","3.977","3.895","-0.98%"
"10/01/2024","3.987","3.980","3.987","3.933","0.53%"
