"Date","Price","Open","High","Low","Change %"
"03/28/2025","2.7320","2.7750","2.7750","2.7080","-1.50%"
"03/27/2025","2.7735","2.7720","2.7920","2.7460","-0.57%"
"03/26/2025","2.7895","2.8020","2.8100","2.7740","-0.13%"
"03/25/2025","2.7930","2.7760","2.8310","2.7730","0.83%"
"03/24/2025","2.7700","2.7900","2.8000","2.7630","0.18%"
"03/21/2025","2.7650","2.7840","2.7860","2.7460","-0.45%"
"03/20/2025","2.7775","2.7660","2.7910","2.7480","-0.73%"
"03/19/2025","2.7980","2.8060","2.8150","2.7480","-0.60%"
"03/18/2025","2.8150","2.8260","2.8550","2.8080","0.46%"
"03/17/2025","2.8020","2.8690","2.8780","2.8000","-2.47%"
"03/14/2025","2.8730","2.8660","2.9360","2.8460","0.68%"
"03/13/2025","2.8535","2.8690","2.9090","2.8450","-1.14%"
"03/12/2025","2.8865","2.9030","2.9380","2.8750","0.50%"
"03/11/2025","2.8720","2.8310","2.8770","2.8200","1.66%"
"03/10/2025","2.8250","2.8790","2.8790","2.7730","-0.35%"
"03/07/2025","2.8350","2.8000","2.8430","2.7710","-1.72%"
"03/06/2025","2.8845","2.7950","2.9290","2.7950","3.65%"
"03/05/2025","2.7830","2.6670","2.7960","2.6550","12.24%"
"03/04/2025","2.4795","2.4630","2.5040","2.4230","-0.46%"
"03/03/2025","2.4910","2.4420","2.5190","2.4120","4.38%"
"02/28/2025","2.3865","2.4150","2.4150","2.3740","-1.12%"
"02/27/2025","2.4135","2.4330","2.4520","2.4120","-1.00%"
"02/26/2025","2.4380","2.4570","2.4740","2.4210","-0.53%"
"02/25/2025","2.4510","2.4990","2.4990","2.4460","-0.75%"
"02/24/2025","2.4695","2.4800","2.4990","2.4530","0.28%"
"02/21/2025","2.4625","2.5300","2.5320","2.4610","-2.80%"
"02/20/2025","2.5335","2.5450","2.5630","2.5310","-0.61%"
"02/19/2025","2.5490","2.5020","2.5550","2.4940","2.35%"
"02/18/2025","2.4905","2.4890","2.5170","2.4890","0.30%"
"02/17/2025","2.4830","2.4310","2.5000","2.4310","2.48%"
"02/14/2025","2.4230","2.4240","2.4440","2.4130","0.17%"
"02/13/2025","2.4190","2.4720","2.4790","2.4130","-2.38%"
"02/12/2025","2.4780","2.4400","2.4880","2.4310","2.10%"
"02/11/2025","2.4270","2.3790","2.4370","2.3770","2.84%"
"02/10/2025","2.3600","2.3740","2.3850","2.3500","-0.72%"
"02/07/2025","2.3770","2.3780","2.4080","2.3580","0.19%"
"02/06/2025","2.3725","2.3730","2.3930","2.3550","0.57%"
"02/05/2025","2.3590","2.3980","2.3980","2.3450","-1.40%"
"02/04/2025","2.3925","2.4190","2.4330","2.3900","0.23%"
"02/03/2025","2.3870","2.4600","2.4610","2.3590","-2.93%"
"01/31/2025","2.4590","2.5190","2.5390","2.4530","-2.30%"
"01/30/2025","2.5170","2.5620","2.5730","2.4960","-2.10%"
"01/29/2025","2.5710","2.5560","2.5730","2.5250","0.41%"
"01/28/2025","2.5605","2.5310","2.5650","2.5310","2.30%"
"01/27/2025","2.5030","2.4960","2.5240","2.4660","-1.63%"
"01/24/2025","2.5445","2.5090","2.5690","2.5010","1.25%"
"01/23/2025","2.5130","2.4980","2.5370","2.4860","0.58%"
"01/22/2025","2.4985","2.4850","2.5020","2.4580","0.87%"
"01/21/2025","2.4770","2.4830","2.5100","2.4700","-0.62%"
"01/20/2025","2.4925","2.5110","2.5240","2.4880","-0.42%"
"01/17/2025","2.5030","2.5200","2.5220","2.4810","-0.69%"
"01/16/2025","2.5205","2.5260","2.5700","2.5190","-0.28%"
"01/15/2025","2.5275","2.6220","2.6300","2.5130","-3.62%"
"01/14/2025","2.6225","2.5850","2.6250","2.5640","1.24%"
"01/13/2025","2.5905","2.5690","2.6120","2.5690","0.90%"
"01/10/2025","2.5675","2.5400","2.5970","2.5400","1.44%"
"01/09/2025","2.5310","2.5180","2.5430","2.5090","0.28%"
"01/08/2025","2.5240","2.4800","2.5300","2.4690","1.55%"
