"Date","Price","Open","High","Low","Change %"
"03/28/2025","1.528","1.582","1.590","1.544","-2.24%"
"03/27/2025","1.563","1.584","1.592","1.571","0.26%"
"03/26/2025","1.559","1.576","1.590","1.575","0.58%"
"03/25/2025","1.550","1.553","1.578","1.553","2.04%"
"03/24/2025","1.519","1.521","1.540","1.518","0.93%"
"03/21/2025","1.505","1.521","1.536","1.515","0.40%"
"03/19/2025","1.499","1.502","1.524","1.494","1.08%"
"03/18/2025","1.483","1.504","1.516","1.489","-0.54%"
"03/17/2025","1.491","1.515","1.534","1.502","-0.80%"
"03/14/2025","1.503","1.543","1.565","1.520","-1.31%"
"03/13/2025","1.523","1.514","1.550","1.496","1.20%"
"03/12/2025","1.505","1.522","1.553","1.518","0.94%"
"03/11/2025","1.491","1.532","1.547","1.489","-3.87%"
"03/10/2025","1.551","1.523","1.579","1.523","3.40%"
"03/07/2025","1.500","1.517","1.538","1.502","0.27%"
"03/06/2025","1.496","1.483","1.521","1.483","4.62%"
"03/05/2025","1.430","1.440","1.450","1.434","1.35%"
"03/04/2025","1.411","1.406","1.430","1.396","1.29%"
"03/03/2025","1.393","1.376","1.405","1.375","2.43%"
"02/28/2025","1.360","1.387","1.389","1.364","-1.52%"
"02/27/2025","1.381","1.365","1.411","1.363","1.92%"
"02/26/2025","1.355","1.384","1.384","1.319","-1.09%"
"02/25/2025","1.370","1.408","1.408","1.360","-2.91%"
"02/21/2025","1.411","1.460","1.467","1.395","-1.05%"
"02/20/2025","1.426","1.436","1.447","1.423","0.35%"
"02/19/2025","1.421","1.432","1.446","1.414","0.35%"
"02/18/2025","1.416","1.399","1.435","1.388","3.06%"
"02/17/2025","1.374","1.354","1.389","1.353","2.46%"
"02/14/2025","1.341","1.338","1.355","1.336","0.00%"
"02/13/2025","1.341","1.360","1.375","1.349","0.45%"
"02/12/2025","1.335","1.319","1.345","1.319","2.06%"
"02/10/2025","1.308","1.301","1.325","1.293","1.00%"
"02/07/2025","1.295","1.284","1.305","1.273","2.78%"
"02/06/2025","1.260","1.283","1.285","1.259","-1.56%"
"02/05/2025","1.280","1.292","1.300","1.283","0.71%"
"02/04/2025","1.271","1.258","1.275","1.255","2.33%"
"02/03/2025","1.242","1.256","1.264","1.219","0.00%"
"01/31/2025","1.242","1.213","1.248","1.213","2.73%"
"01/30/2025","1.209","1.201","1.219","1.201","1.60%"
"01/29/2025","1.190","1.193","1.199","1.180","-0.08%"
"01/28/2025","1.191","1.210","1.210","1.186","-2.14%"
"01/27/2025","1.217","1.233","1.235","1.214","-0.90%"
"01/24/2025","1.228","1.210","1.240","1.209","1.99%"
"01/23/2025","1.204","1.193","1.210","1.189","0.67%"
"01/22/2025","1.196","1.186","1.210","1.181","0.67%"
"01/21/2025","1.188","1.189","1.191","1.173","-0.50%"
"01/20/2025","1.194","1.203","1.204","1.189","-0.50%"
"01/17/2025","1.200","1.200","1.207","1.174","-0.25%"
"01/16/2025","1.203","1.232","1.243","1.201","-3.76%"
"01/15/2025","1.250","1.241","1.260","1.234","0.73%"
"01/14/2025","1.241","1.239","1.256","1.234","3.59%"
"01/10/2025","1.198","1.180","1.199","1.175","1.87%"
"01/09/2025","1.176","1.178","1.188","1.169","-0.08%"
"01/08/2025","1.177","1.161","1.179","1.161","5.18%"
"01/07/2025","1.119","1.131","1.139","1.122","0.45%"
"01/06/2025","1.114","1.095","1.126","1.094","2.96%"
"12/30/2024","1.082","1.113","1.120","1.090","-0.73%"
"12/27/2024","1.090","1.086","1.104","1.077","0.83%"
"12/26/2024","1.081","1.071","1.098","1.071","2.27%"
"12/25/2024","1.057","1.067","1.070","1.060","-0.28%"
"12/24/2024","1.060","1.072","1.074","1.062","0.28%"
"12/23/2024","1.057","1.046","1.065","1.042","1.25%"
"12/20/2024","1.044","1.063","1.063","1.030","-2.52%"
"12/19/2024","1.071","1.075","1.101","1.068","1.32%"
"12/18/2024","1.057","1.077","1.078","1.064","-1.31%"
"12/17/2024","1.071","1.075","1.083","1.069","1.32%"
"12/16/2024","1.057","1.054","1.068","1.053","2.32%"
"12/13/2024","1.033","1.048","1.053","1.031","-0.77%"
"12/12/2024","1.041","1.069","1.081","1.047","-1.70%"
"12/11/2024","1.059","1.066","1.077","1.064","0.57%"
"12/10/2024","1.053","1.048","1.072","1.047","1.94%"
"12/09/2024","1.033","1.046","1.047","1.030","-1.24%"
"12/06/2024","1.046","1.071","1.073","1.049","-1.51%"
"12/05/2024","1.062","1.054","1.072","1.051","1.53%"
"12/04/2024","1.046","1.077","1.078","1.044","-2.06%"
"12/03/2024","1.068","1.073","1.090","1.073","0.09%"
"12/02/2024","1.067","1.077","1.085","1.074","2.20%"
"11/29/2024","1.044","1.054","1.070","1.049","-0.29%"
"11/28/2024","1.047","1.056","1.061","1.049","-1.69%"
"11/27/2024","1.065","1.070","1.078","1.069","1.14%"
"11/26/2024","1.053","1.060","1.065","1.054","-1.13%"
"11/25/2024","1.065","1.072","1.080","1.066","-0.84%"
"11/22/2024","1.074","1.095","1.101","1.079","-1.20%"
"11/21/2024","1.087","1.073","1.099","1.073","2.45%"
"11/20/2024","1.061","1.057","1.075","1.055","0.38%"
"11/19/2024","1.057","1.073","1.073","1.059","-0.56%"
"11/18/2024","1.063","1.070","1.082","1.065","-0.37%"
"11/15/2024","1.067","1.065","1.085","1.065","1.43%"
"11/14/2024","1.052","1.053","1.060","1.050","1.35%"
"11/13/2024","1.038","1.033","1.048","1.029","3.70%"
"11/12/2024","1.001","0.999","1.006","0.995","0.70%"
"11/11/2024","0.994","1.001","1.002","0.987","-0.50%"
"11/08/2024","0.999","0.993","1.005","0.985","-0.70%"
"11/07/2024","1.006","0.992","1.019","0.991","2.65%"
"11/06/2024","0.980","0.927","0.992","0.917","5.04%"
"11/05/2024","0.933","0.943","0.946","0.933","-1.17%"
"11/01/2024","0.944","0.954","0.966","0.941","0.75%"
"10/31/2024","0.937","0.959","0.967","0.935","-1.68%"
"10/30/2024","0.953","0.976","0.980","0.955","-2.36%"
"10/29/2024","0.976","0.978","0.979","0.967","0.62%"
"10/28/2024","0.970","0.942","0.976","0.930","2.21%"
"10/25/2024","0.949","0.961","0.966","0.945","-1.15%"
"10/24/2024","0.960","0.985","0.986","0.956","-2.04%"
"10/23/2024","0.980","0.980","0.985","0.975","0.00%"
"10/22/2024","0.980","0.983","0.992","0.974","2.62%"
"10/21/2024","0.955","0.961","0.965","0.954","-0.31%"
"10/20/2024","0.958","0.958","0.958","0.958","-1.24%"
"10/18/2024","0.970","0.974","0.986","0.970","0.52%"
"10/17/2024","0.965","0.949","0.967","0.948","1.15%"
"10/16/2024","0.954","0.962","0.962","0.950","-1.75%"
"10/15/2024","0.971","0.958","0.972","0.955","1.78%"
"10/14/2024","0.954","0.946","0.954","0.946","0.42%"
"10/11/2024","0.950","0.957","0.957","0.940","-0.84%"
"10/10/2024","0.958","0.946","0.960","0.941","2.35%"
"10/09/2024","0.936","0.927","0.938","0.925","1.08%"
"10/08/2024","0.926","0.934","0.936","0.924","0.54%"
"10/07/2024","0.921","0.916","0.926","0.910","0.11%"
"10/06/2024","0.920","0.920","0.920","0.920","4.55%"
"10/04/2024","0.880","0.875","0.885","0.870","7.19%"
"10/03/2024","0.821","0.829","0.835","0.815","0.61%"
"10/02/2024","0.816","0.829","0.840","0.816","-4.56%"
"10/01/2024","0.855","0.856","0.863","0.845","0.00%"
"09/30/2024","0.855","0.849","0.861","0.849","-1.04%"
"09/29/2024","0.864","0.864","0.864","0.864","7.20%"
"09/27/2024","0.806","0.826","0.826","0.798","-3.01%"
"09/26/2024","0.831","0.818","0.837","0.818","2.47%"
"09/25/2024","0.811","0.804","0.816","0.797","0.12%"
"09/24/2024","0.810","0.834","0.834","0.810","-3.23%"
"09/23/2024","0.837","0.843","0.843","0.837","-3.35%"
"09/20/2024","0.866","0.853","0.866","0.845","1.29%"
"09/19/2024","0.855","0.842","0.856","0.842","3.51%"
"09/18/2024","0.826","0.829","0.835","0.815","0.00%"
"09/17/2024","0.826","0.841","0.841","0.819","-0.84%"
"09/16/2024","0.833","0.848","0.848","0.833","-0.95%"
"09/13/2024","0.841","0.863","0.864","0.834","-2.32%"
"09/12/2024","0.861","0.855","0.879","0.855","1.18%"
"09/11/2024","0.851","0.869","0.872","0.845","-4.49%"
"09/10/2024","0.891","0.878","0.896","0.878","0.00%"
"09/09/2024","0.891","0.854","0.895","0.854","1.02%"
"09/08/2024","0.882","0.882","0.882","0.882","3.64%"
"09/06/2024","0.851","0.870","0.876","0.850","-2.63%"
"09/05/2024","0.874","0.862","0.876","0.860","-1.35%"
"09/04/2024","0.886","0.913","0.913","0.880","-3.80%"
"09/03/2024","0.921","0.914","0.931","0.913","1.66%"
"09/02/2024","0.906","0.910","0.915","0.905","1.68%"
"08/30/2024","0.891","0.897","0.913","0.890","0.00%"
"08/29/2024","0.891","0.897","0.907","0.885","-0.34%"
"08/28/2024","0.894","0.879","0.896","0.878","1.48%"
"08/27/2024","0.881","0.889","0.892","0.879","0.00%"
"08/26/2024","0.881","0.892","0.892","0.875","-0.45%"
"08/25/2024","0.885","0.885","0.885","0.885","-1.12%"
"08/23/2024","0.895","0.896","0.905","0.885","2.29%"
"08/22/2024","0.875","0.868","0.881","0.861","0.46%"
"08/21/2024","0.871","0.879","0.889","0.864","-2.13%"
"08/20/2024","0.890","0.891","0.898","0.879","-0.11%"
"08/19/2024","0.891","0.876","0.906","0.876","0.56%"
"08/18/2024","0.886","0.886","0.886","0.886","1.14%"
"08/16/2024","0.876","0.880","0.888","0.873","4.53%"
"08/15/2024","0.838","0.811","0.839","0.808","2.95%"
"08/14/2024","0.814","0.843","0.843","0.806","-3.55%"
"08/13/2024","0.844","0.851","0.867","0.842","-0.71%"
"08/12/2024","0.850","0.857","0.857","0.850","-0.93%"
"08/09/2024","0.858","0.866","0.883","0.853","2.63%"
"08/08/2024","0.836","0.882","0.906","0.835","-4.57%"
"08/07/2024","0.876","0.885","0.918","0.847","-2.23%"
"08/06/2024","0.896","0.814","0.953","0.814","16.67%"
"08/05/2024","0.768","0.863","0.865","0.733","-10.39%"
"08/04/2024","0.857","0.857","0.857","0.857","-10.73%"
"08/02/2024","0.960","1.013","1.013","0.956","-7.07%"
"08/01/2024","1.033","1.040","1.058","1.027","-2.64%"
"07/31/2024","1.061","1.062","1.076","1.020","5.99%"
"07/30/2024","1.001","1.019","1.025","1.000","-2.44%"
"07/29/2024","1.026","1.052","1.052","1.020","-2.10%"
"07/28/2024","1.048","1.048","1.048","1.048","-1.04%"
"07/26/2024","1.059","1.067","1.068","1.050","-1.03%"
"07/25/2024","1.070","1.093","1.106","1.066","-0.47%"
"07/24/2024","1.075","1.064","1.085","1.064","1.32%"
"07/23/2024","1.061","1.063","1.076","1.060","0.95%"
"07/22/2024","1.051","1.042","1.055","1.033","1.25%"
"07/21/2024","1.038","1.038","1.038","1.038","0.19%"
"07/19/2024","1.036","1.041","1.055","1.028","0.10%"
"07/18/2024","1.035","1.034","1.065","1.033","0.19%"
"07/17/2024","1.033","1.016","1.035","1.005","1.18%"
"07/16/2024","1.021","1.053","1.057","1.015","-2.85%"
"07/15/2024","1.051","1.051","1.051","1.051","0.38%"
"07/12/2024","1.047","1.079","1.079","1.045","-3.59%"
"07/11/2024","1.086","1.086","1.091","1.081","0.09%"
"07/10/2024","1.085","1.083","1.094","1.080","0.93%"
"07/09/2024","1.075","1.094","1.095","1.071","-1.01%"
"07/08/2024","1.086","1.068","1.093","1.065","0.65%"
"07/07/2024","1.079","1.068","1.079","1.079","0.75%"
"07/05/2024","1.071","1.080","1.083","1.070","-1.20%"
"07/04/2024","1.084","1.081","1.093","1.079","-1.45%"
"07/03/2024","1.100","1.105","1.106","1.094","1.38%"
"07/02/2024","1.085","1.078","1.089","1.066","2.26%"
"07/01/2024","1.061","1.073","1.085","1.061","-0.19%"
"06/30/2024","1.063","1.073","1.063","1.063","1.63%"
"06/28/2024","1.046","1.064","1.089","1.040","-2.70%"
"06/27/2024","1.075","1.050","1.084","1.050","5.08%"
"06/26/2024","1.023","1.001","1.024","0.998","2.30%"
"06/25/2024","1.000","0.995","1.001","0.988","1.01%"
"06/24/2024","0.990","0.995","1.000","0.989","1.02%"
"06/23/2024","0.980","0.995","0.980","0.980","0.00%"
"06/21/2024","0.980","0.972","0.985","0.970","2.73%"
"06/20/2024","0.954","0.932","0.956","0.928","1.92%"
"06/19/2024","0.936","0.943","0.953","0.933","-0.53%"
"06/18/2024","0.941","0.942","0.947","0.934","1.29%"
"06/17/2024","0.929","0.919","0.934","0.916","0.65%"
"06/16/2024","0.923","0.919","0.923","0.923","-0.75%"
"06/14/2024","0.930","0.951","0.952","0.898","-3.93%"
"06/13/2024","0.968","0.975","0.978","0.955","-2.02%"
"06/12/2024","0.988","1.007","1.009","0.983","-3.61%"
"06/11/2024","1.025","1.034","1.039","1.015","-1.06%"
"06/10/2024","1.036","1.007","1.037","1.007","3.70%"
"06/09/2024","0.999","1.007","0.999","0.999","2.36%"
"06/07/2024","0.976","0.967","0.994","0.960","1.56%"
"06/06/2024","0.961","0.994","0.999","0.956","-3.90%"
"06/05/2024","1.000","1.009","1.009","0.988","-3.29%"
"06/04/2024","1.034","1.047","1.051","1.030","-3.00%"
"06/03/2024","1.066","1.067","1.073","1.059","0.95%"
"06/02/2024","1.056","1.067","1.056","1.056","-1.77%"
"05/31/2024","1.075","1.057","1.078","1.048","1.42%"
"05/30/2024","1.060","1.085","1.103","1.058","-1.85%"
"05/29/2024","1.080","1.053","1.081","1.049","4.45%"
"05/28/2024","1.034","1.023","1.045","1.020","0.88%"
"05/27/2024","1.025","1.001","1.029","1.001","3.12%"
"05/26/2024","0.994","1.001","0.994","0.994","-1.39%"
"05/24/2024","1.008","1.008","1.011","0.998","0.80%"
"05/23/2024","1.000","1.000","1.004","0.990","0.50%"
"05/22/2024","0.995","0.981","1.000","0.978","1.53%"
"05/21/2024","0.980","0.985","0.985","0.970","0.31%"
"05/20/2024","0.977","0.963","0.979","0.962","2.09%"
"05/19/2024","0.957","0.963","0.957","0.957","0.84%"
"05/17/2024","0.949","0.941","0.950","0.930","3.15%"
"05/16/2024","0.920","0.934","0.937","0.914","-3.36%"
"05/15/2024","0.952","0.963","0.963","0.951","-0.94%"
"05/14/2024","0.961","0.945","0.971","0.945","2.13%"
"05/13/2024","0.941","0.914","0.947","0.909","3.75%"
"05/12/2024","0.907","0.914","0.907","0.907","-0.33%"
"05/10/2024","0.910","0.906","0.916","0.904","0.22%"
"05/09/2024","0.908","0.886","0.927","0.886","3.30%"
"05/08/2024","0.879","0.865","0.879","0.855","0.92%"
"05/07/2024","0.871","0.876","0.885","0.869","0.00%"
"05/06/2024","0.871","0.876","0.871","0.871","-3.65%"
"05/02/2024","0.904","0.875","0.904","0.873","1.23%"
"05/01/2024","0.893","0.886","0.895","0.885","2.41%"
"04/30/2024","0.872","0.892","0.892","0.865","-0.11%"
"04/29/2024","0.873","0.892","0.873","0.873","-5.11%"
"04/26/2024","0.920","0.935","0.935","0.905","2.79%"
"04/25/2024","0.895","0.896","0.901","0.888","0.79%"
"04/24/2024","0.888","0.882","0.893","0.878","0.34%"
"04/23/2024","0.885","0.878","0.893","0.874","0.57%"
"04/22/2024","0.880","0.853","0.885","0.853","2.44%"
"04/21/2024","0.859","0.853","0.859","0.859","2.87%"
"04/19/2024","0.835","0.872","0.877","0.823","-3.47%"
"04/18/2024","0.865","0.875","0.887","0.863","-2.70%"
"04/17/2024","0.889","0.877","0.891","0.871","2.54%"
"04/16/2024","0.867","0.878","0.887","0.865","0.81%"
"04/15/2024","0.860","0.856","0.861","0.841","1.78%"
"04/14/2024","0.845","0.856","0.850","0.845","-1.86%"
"04/12/2024","0.861","0.856","0.868","0.841","0.70%"
"04/11/2024","0.855","0.826","0.861","0.826","7.41%"
"04/10/2024","0.796","0.794","0.798","0.790","1.40%"
"04/09/2024","0.785","0.784","0.791","0.780","0.13%"
"04/08/2024","0.784","0.782","0.787","0.778","-0.13%"
"04/07/2024","0.785","0.782","0.785","0.785","1.95%"
"04/05/2024","0.770","0.772","0.780","0.764","-0.65%"
"04/04/2024","0.775","0.768","0.777","0.760","1.31%"
"04/03/2024","0.765","0.779","0.781","0.762","2.68%"
"04/02/2024","0.745","0.753","0.756","0.724","0.68%"
"04/01/2024","0.740","0.734","0.751","0.734","1.09%"
"03/31/2024","0.732","0.734","0.732","0.732","0.83%"
"03/29/2024","0.726","0.714","0.730","0.714","2.83%"
"03/28/2024","0.706","0.722","0.726","0.700","-2.22%"
"03/27/2024","0.722","0.739","0.746","0.720","-2.30%"
"03/26/2024","0.739","0.736","0.746","0.733","1.23%"
"03/25/2024","0.730","0.732","0.732","0.720","1.67%"
"03/24/2024","0.718","0.732","0.718","0.718","-3.23%"
"03/22/2024","0.742","0.744","0.751","0.736","-0.40%"
"03/21/2024","0.745","0.727","0.746","0.725","2.90%"
"03/20/2024","0.724","0.727","0.724","0.724","-1.09%"
"03/19/2024","0.732","0.761","0.771","0.725","-3.17%"
"03/18/2024","0.756","0.789","0.796","0.756","-2.70%"
"03/17/2024","0.777","0.781","0.781","0.777","-1.02%"
"03/15/2024","0.785","0.789","0.801","0.785","0.51%"
"03/14/2024","0.781","0.770","0.787","0.770","2.63%"
"03/13/2024","0.761","0.771","0.772","0.758","-1.17%"
"03/12/2024","0.770","0.774","0.779","0.765","0.79%"
"03/11/2024","0.764","0.758","0.770","0.756","0.73%"
"03/10/2024","0.758","0.754","0.758","0.754","3.20%"
"03/08/2024","0.735","0.742","0.746","0.730","0.41%"
"03/07/2024","0.732","0.722","0.741","0.721","2.38%"
"03/06/2024","0.715","0.705","0.721","0.701","1.85%"
"03/05/2024","0.702","0.722","0.731","0.701","-1.54%"
"03/04/2024","0.713","0.707","0.719","0.704","1.78%"
"03/03/2024","0.701","0.702","0.702","0.701","-2.16%"
"03/01/2024","0.716","0.714","0.726","0.710","0.14%"
"02/29/2024","0.715","0.694","0.732","0.686","2.14%"
