"Date","Price","Open","High","Low","Change %"
"03/28/2025","4.659","4.705","4.714","4.665","-0.51%"
"03/27/2025","4.683","4.650","4.720","4.650","1.30%"
"03/26/2025","4.623","4.653","4.668","4.638","0.06%"
"03/25/2025","4.620","4.645","4.688","4.645","-0.06%"
"03/24/2025","4.623","4.633","4.651","4.633","0.11%"
"03/21/2025","4.618","4.625","4.659","4.618","0.39%"
"03/20/2025","4.600","4.683","4.700","4.618","-1.14%"
"03/19/2025","4.653","4.710","4.718","4.675","-0.47%"
"03/18/2025","4.675","4.720","4.735","4.695","-0.43%"
"03/17/2025","4.695","4.690","4.725","4.690","0.36%"
"03/14/2025","4.678","4.690","4.705","4.668","0.17%"
"03/13/2025","4.670","4.710","4.743","4.690","-0.43%"
"03/12/2025","4.690","4.643","4.720","4.643","1.34%"
"03/11/2025","4.628","4.668","4.673","4.613","-0.32%"
"03/10/2025","4.643","4.653","4.678","4.653","0.15%"
"03/07/2025","4.636","4.718","4.718","4.643","-1.32%"
"03/06/2025","4.698","4.630","4.735","4.630","1.80%"
"03/05/2025","4.615","4.515","4.653","4.515","2.46%"
"03/04/2025","4.504","4.548","4.561","4.503","-0.73%"
"03/03/2025","4.537","4.533","4.577","4.530","0.78%"
"02/28/2025","4.502","4.630","4.638","4.523","-2.24%"
"02/27/2025","4.605","4.620","4.638","4.618","0.02%"
"02/26/2025","4.604","4.618","4.634","4.573","0.20%"
"02/25/2025","4.595","4.658","4.658","4.613","-0.61%"
"02/24/2025","4.623","4.713","4.713","4.648","-1.07%"
"02/21/2025","4.673","4.695","4.713","4.670","0.06%"
"02/20/2025","4.670","4.708","4.748","4.690","-0.49%"
"02/19/2025","4.693","4.685","4.733","4.678","0.79%"
"02/18/2025","4.656","4.673","4.697","4.645","0.50%"
"02/17/2025","4.633","4.645","4.673","4.623","0.56%"
"02/14/2025","4.607","4.685","4.685","4.610","-1.14%"
"02/13/2025","4.660","4.678","4.745","4.678","0.13%"
"02/12/2025","4.654","4.625","4.683","4.625","0.95%"
"02/11/2025","4.610","4.630","4.663","4.621","0.22%"
"02/10/2025","4.600","4.593","4.653","4.593","0.94%"
"02/07/2025","4.557","4.568","4.605","4.558","0.20%"
"02/05/2025","4.548","4.588","4.610","4.553","-0.07%"
"02/04/2025","4.551","4.563","4.605","4.553","0.18%"
"02/03/2025","4.543","4.620","4.643","4.548","-1.02%"
"01/31/2025","4.590","4.598","4.628","4.558","0.37%"
"01/30/2025","4.573","4.573","4.613","4.573","0.40%"
"01/29/2025","4.555","4.590","4.603","4.573","0.09%"
"01/28/2025","4.551","4.648","4.648","4.560","-1.34%"
"01/27/2025","4.613","4.660","4.660","4.633","-0.43%"
"01/24/2025","4.633","4.685","4.691","4.656","-0.58%"
"01/23/2025","4.660","4.688","4.723","4.685","-0.28%"
"01/22/2025","4.673","4.693","4.703","4.648","0.00%"
"01/21/2025","4.673","4.768","4.770","4.693","-1.58%"
"01/20/2025","4.748","4.768","4.793","4.768","0.00%"
"01/17/2025","4.748","4.788","4.793","4.743","-0.31%"
"01/16/2025","4.763","4.888","4.888","4.763","-2.00%"
"01/15/2025","4.860","4.815","4.893","4.815","1.44%"
"01/14/2025","4.791","4.740","4.845","4.734","1.50%"
"01/13/2025","4.720","4.670","4.748","4.670","1.51%"
"01/10/2025","4.650","4.663","4.711","4.663","0.09%"
"01/09/2025","4.646","4.680","4.716","4.658","-0.26%"
"01/08/2025","4.658","4.605","4.692","4.605","1.68%"
"01/07/2025","4.581","4.585","4.610","4.585","0.50%"
"01/06/2025","4.558","4.545","4.585","4.530","0.29%"
"01/03/2025","4.545","4.548","4.595","4.545","-1.47%"
"12/30/2024","4.613","4.543","4.620","4.533","1.43%"
"12/27/2024","4.548","4.600","4.600","4.543","-1.13%"
"12/24/2024","4.600","4.588","4.623","4.588","0.46%"
"12/23/2024","4.579","4.670","4.670","4.574","-2.01%"
"12/20/2024","4.673","4.600","4.680","4.600","1.41%"
"12/19/2024","4.608","4.555","4.608","4.553","1.27%"
"12/18/2024","4.550","4.575","4.585","4.550","-0.55%"
"12/17/2024","4.575","4.560","4.620","4.560","0.11%"
"12/16/2024","4.570","4.535","4.580","4.535","0.64%"
"12/13/2024","4.541","4.503","4.568","4.503","0.84%"
"12/12/2024","4.503","4.453","4.520","4.448","1.19%"
"12/11/2024","4.450","4.443","4.455","4.403","0.50%"
"12/10/2024","4.428","4.448","4.513","4.428","-0.61%"
"12/09/2024","4.455","4.485","4.490","4.446","-0.58%"
"12/06/2024","4.481","4.473","4.520","4.473","0.00%"
"12/05/2024","4.481","4.435","4.481","4.423","0.76%"
"12/04/2024","4.447","4.405","4.458","4.405","0.77%"
"12/03/2024","4.413","4.448","4.448","4.402","-0.72%"
"12/02/2024","4.445","4.485","4.486","4.435","-1.07%"
"11/29/2024","4.493","4.508","4.508","4.485","-0.33%"
"11/28/2024","4.508","4.570","4.570","4.508","-1.14%"
"11/27/2024","4.560","4.535","4.625","4.530","0.64%"
"11/26/2024","4.531","4.595","4.595","4.518","-1.33%"
"11/25/2024","4.592","4.700","4.700","4.584","-2.11%"
"11/22/2024","4.691","4.738","4.755","4.688","-1.03%"
"11/21/2024","4.740","4.713","4.763","4.713","0.57%"
"11/20/2024","4.713","4.718","4.718","4.698","-0.11%"
"11/19/2024","4.718","4.770","4.770","4.710","-1.05%"
"11/18/2024","4.768","4.805","4.805","4.760","-0.77%"
"11/15/2024","4.805","4.818","4.830","4.778","-0.27%"
"11/14/2024","4.818","4.768","4.820","4.758","1.05%"
"11/13/2024","4.768","4.700","4.778","4.700","1.45%"
"11/12/2024","4.700","4.708","4.713","4.700","-0.17%"
"11/11/2024","4.708","4.688","4.708","4.665","0.36%"
"11/08/2024","4.691","4.743","4.743","4.675","-1.16%"
"11/07/2024","4.746","4.700","4.746","4.686","1.24%"
"11/06/2024","4.688","4.573","4.705","4.550","2.45%"
"11/05/2024","4.576","4.590","4.604","4.570","-0.39%"
"11/04/2024","4.594","4.583","4.600","4.583","2.25%"
"11/01/2024","4.493","4.505","4.533","4.487","-0.13%"
"10/31/2024","4.499","4.483","4.548","4.473","0.49%"
"10/30/2024","4.477","4.465","4.495","4.465","0.09%"
"10/29/2024","4.473","4.448","4.498","4.436","0.68%"
"10/25/2024","4.443","4.523","4.523","4.438","-1.44%"
"10/24/2024","4.508","4.540","4.553","4.508","-0.70%"
"10/23/2024","4.540","4.515","4.550","4.503","0.38%"
"10/22/2024","4.523","4.465","4.530","4.465","1.53%"
"10/21/2024","4.455","4.463","4.470","4.448","-0.13%"
"10/18/2024","4.461","4.433","4.488","4.433","0.68%"
"10/17/2024","4.431","4.425","4.450","4.393","0.25%"
"10/16/2024","4.420","4.450","4.450","4.410","-0.74%"
"10/15/2024","4.453","4.478","4.492","4.443","-0.67%"
"10/14/2024","4.483","4.430","4.503","4.430","1.22%"
"10/11/2024","4.429","4.388","4.432","4.385","0.93%"
"10/10/2024","4.388","4.333","4.393","4.330","1.32%"
"10/09/2024","4.331","4.335","4.335","4.275","0.14%"
"10/08/2024","4.325","4.350","4.360","4.323","-0.46%"
"10/07/2024","4.345","4.295","4.365","4.295","1.19%"
"10/04/2024","4.294","4.298","4.335","4.290","-0.16%"
"10/03/2024","4.301","4.260","4.304","4.260","1.06%"
"10/02/2024","4.256","4.263","4.265","4.220","-0.16%"
"10/01/2024","4.263","4.273","4.303","4.255","-0.49%"
"09/30/2024","4.284","4.258","4.284","4.213","0.73%"
"09/27/2024","4.253","4.263","4.268","4.248","-0.23%"
"09/26/2024","4.263","4.233","4.283","4.233","0.57%"
"09/25/2024","4.239","4.240","4.246","4.198","-0.07%"
"09/24/2024","4.242","4.243","4.255","4.231","-0.19%"
"09/23/2024","4.250","4.203","4.256","4.203","1.12%"
"09/20/2024","4.203","4.210","4.223","4.193","-0.17%"
"09/19/2024","4.210","4.160","4.273","4.160","1.20%"
"09/18/2024","4.160","4.125","4.160","4.125","0.85%"
"09/17/2024","4.125","4.098","4.125","4.098","0.66%"
"09/16/2024","4.098","4.123","4.132","4.095","-0.75%"
"09/13/2024","4.129","4.183","4.194","4.123","-1.22%"
"09/12/2024","4.180","4.178","4.198","4.178","0.31%"
