"Date","Price","Open","High","Low","Change %"
"03/28/2025","4.071","4.090","4.125","4.068","-0.46%"
"03/27/2025","4.090","4.120","4.155","4.102","-0.44%"
"03/26/2025","4.109","4.182","4.182","4.132","-0.92%"
"03/25/2025","4.147","4.155","4.222","4.154","0.59%"
"03/24/2025","4.122","4.107","4.167","4.104","1.39%"
"03/21/2025","4.065","4.080","4.097","4.079","0.22%"
"03/20/2025","4.056","4.037","4.087","4.037","0.00%"
"03/19/2025","4.056","4.120","4.130","4.069","-1.04%"
"03/18/2025","4.098","4.122","4.150","4.121","0.33%"
"03/17/2025","4.085","4.153","4.155","4.109","-1.10%"
"03/14/2025","4.130","4.155","4.190","4.142","0.54%"
"03/13/2025","4.109","4.100","4.160","4.092","1.12%"
"03/12/2025","4.063","4.045","4.125","4.039","1.47%"
"03/11/2025","4.004","4.086","4.120","4.027","-0.88%"
"03/10/2025","4.040","4.035","4.090","4.035","2.54%"
"03/07/2025","3.940","3.985","4.020","3.953","-1.01%"
"03/06/2025","3.980","4.025","4.025","3.962","2.16%"
"03/05/2025","3.895","3.985","3.985","3.881","2.54%"
"03/04/2025","3.799","3.865","3.865","3.824","-1.61%"
"03/03/2025","3.861","3.829","3.915","3.821","2.03%"
"02/28/2025","3.784","3.845","3.845","3.808","-1.33%"
"02/27/2025","3.835","3.879","3.905","3.860","-0.79%"
"02/26/2025","3.865","3.914","3.945","3.885","-1.04%"
"02/25/2025","3.906","4.020","4.020","3.933","-1.55%"
"02/24/2025","3.967","3.975","4.035","3.968","0.76%"
"02/21/2025","3.938","4.020","4.020","3.964","-0.91%"
"02/20/2025","3.974","3.994","4.025","3.994","0.15%"
"02/19/2025","3.967","3.952","4.015","3.951","1.20%"
"02/18/2025","3.921","3.975","3.980","3.944","-0.11%"
"02/17/2025","3.925","3.957","3.961","3.949","0.76%"
"02/14/2025","3.895","3.943","3.975","3.914","-0.33%"
"02/13/2025","3.908","3.976","3.979","3.934","-0.91%"
"02/12/2025","3.944","3.925","3.990","3.922","1.62%"
"02/11/2025","3.882","3.915","3.925","3.892","0.86%"
"02/10/2025","3.849","3.885","3.905","3.863","0.47%"
"02/07/2025","3.830","3.802","3.875","3.797","1.70%"
"02/06/2025","3.766","3.820","3.830","3.783","-0.04%"
"02/05/2025","3.768","3.870","3.870","3.793","-1.85%"
"02/04/2025","3.839","3.865","3.890","3.837","1.07%"
"02/03/2025","3.799","3.865","3.895","3.822","-0.69%"
"01/31/2025","3.825","3.840","3.885","3.784","1.02%"
"01/30/2025","3.786","3.861","3.880","3.810","-1.10%"
"01/29/2025","3.829","3.890","3.890","3.848","-0.34%"
"01/28/2025","3.842","3.905","3.905","3.856","-0.25%"
"01/27/2025","3.851","3.935","3.935","3.853","-1.87%"
"01/24/2025","3.924","3.960","3.970","3.944","0.20%"
"01/23/2025","3.917","3.930","3.970","3.930","0.42%"
"01/22/2025","3.900","3.933","3.950","3.921","-0.09%"
"01/21/2025","3.904","3.980","3.980","3.918","-1.18%"
"01/20/2025","3.950","3.985","4.005","3.963","0.59%"
"01/17/2025","3.927","3.943","3.975","3.931","-1.33%"
"01/16/2025","3.980","4.030","4.050","4.008","0.21%"
"01/15/2025","3.971","4.085","4.085","3.996","-1.89%"
"01/14/2025","4.048","4.053","4.110","4.053","1.00%"
"01/13/2025","4.008","4.040","4.075","4.019","0.94%"
