"Date","Price","Open","High","Low","Change %"
"03/28/2025","2.662","2.677","2.695","2.675","-1.54%"
"03/27/2025","2.704","2.731","2.750","2.720","-0.42%"
"03/26/2025","2.715","2.727","2.755","2.700","0.13%"
"03/25/2025","2.711","2.740","2.775","2.740","0.04%"
"03/24/2025","2.711","2.743","2.753","2.735","3.57%"
"03/21/2025","2.617","2.614","2.641","2.614","0.95%"
"03/20/2025","2.592","2.615","2.621","2.573","-1.29%"
"03/19/2025","2.626","2.554","2.661","2.554","1.66%"
"03/18/2025","2.583","2.610","2.633","2.608","0.76%"
"03/17/2025","2.564","2.640","2.651","2.580","-2.47%"
"03/14/2025","2.629","2.622","2.677","2.622","1.45%"
"03/13/2025","2.592","2.606","2.647","2.604","0.19%"
"03/12/2025","2.586","2.641","2.660","2.609","-0.86%"
"03/11/2025","2.609","2.606","2.643","2.606","2.19%"
"03/10/2025","2.553","2.563","2.579","2.527","1.45%"
"03/07/2025","2.516","2.570","2.582","2.513","-2.46%"
"03/06/2025","2.580","2.621","2.621","2.555","5.18%"
"03/05/2025","2.453","2.467","2.485","2.419","8.52%"
"03/04/2025","2.260","2.291","2.304","2.270","-1.07%"
"03/03/2025","2.285","2.255","2.328","2.250","3.82%"
"02/28/2025","2.201","2.196","2.241","2.196","-0.63%"
"02/27/2025","2.215","2.263","2.298","2.235","-1.03%"
"02/26/2025","2.238","2.306","2.306","2.239","-1.00%"
"02/25/2025","2.260","2.307","2.315","2.285","-0.55%"
"02/24/2025","2.273","2.318","2.339","2.297","-0.22%"
"02/21/2025","2.278","2.337","2.339","2.302","-1.87%"
"02/20/2025","2.322","2.345","2.371","2.345","0.00%"
"02/19/2025","2.322","2.327","2.353","2.326","1.29%"
"02/18/2025","2.293","2.345","2.348","2.317","1.10%"
"02/17/2025","2.267","2.351","2.351","2.300","-0.18%"
"02/14/2025","2.272","2.313","2.339","2.277","0.51%"
"02/13/2025","2.260","2.342","2.350","2.277","-1.78%"
"02/12/2025","2.301","2.323","2.339","2.291","0.70%"
"02/11/2025","2.285","2.288","2.330","2.285","3.09%"
"02/10/2025","2.217","2.230","2.270","2.230","0.96%"
"02/07/2025","2.195","2.234","2.265","2.228","1.01%"
"02/06/2025","2.174","2.243","2.273","2.202","1.71%"
"02/05/2025","2.137","2.165","2.184","2.135","-1.75%"
"02/04/2025","2.175","2.193","2.230","2.171","3.37%"
"02/03/2025","2.104","2.159","2.172","2.116","-3.22%"
"01/31/2025","2.174","2.255","2.260","2.186","-1.43%"
"01/30/2025","2.205","2.313","2.320","2.228","-3.16%"
"01/29/2025","2.277","2.327","2.340","2.297","-0.78%"
"01/28/2025","2.296","2.351","2.370","2.312","-0.37%"
"01/27/2025","2.304","2.317","2.338","2.300","-1.24%"
"01/24/2025","2.333","2.344","2.380","2.343","1.83%"
"01/23/2025","2.291","2.302","2.348","2.291","0.39%"
"01/22/2025","2.282","2.298","2.298","2.256","-0.04%"
"01/21/2025","2.283","2.312","2.324","2.274","-0.70%"
"01/20/2025","2.299","2.313","2.348","2.294","-0.09%"
"01/17/2025","2.301","2.330","2.346","2.279","-2.75%"
"01/16/2025","2.366","2.371","2.384","2.348","-0.08%"
"01/15/2025","2.368","2.460","2.475","2.351","-4.55%"
"01/14/2025","2.481","2.460","2.490","2.455","1.60%"
"01/13/2025","2.442","2.454","2.479","2.438","3.50%"
"01/10/2025","2.359","2.405","2.446","2.380","0.32%"
"01/09/2025","2.352","2.434","2.436","2.352","-2.37%"
"01/08/2025","2.409","2.389","2.425","2.372","1.30%"
"01/07/2025","2.378","2.380","2.400","2.365","4.30%"
"01/03/2025","2.280","2.295","2.325","2.284","1.42%"
"01/02/2025","2.248","2.373","2.373","2.248","-3.50%"
"12/30/2024","2.329","2.393","2.410","2.362","-0.17%"
"12/27/2024","2.333","2.333","2.384","2.333","3.25%"
"12/23/2024","2.260","2.285","2.307","2.260","1.99%"
"12/20/2024","2.216","2.240","2.280","2.216","-1.82%"
"12/19/2024","2.257","2.195","2.270","2.191","6.84%"
"12/18/2024","2.112","2.137","2.162","2.126","-1.33%"
"12/17/2024","2.141","2.161","2.165","2.127","0.52%"
"12/16/2024","2.130","2.145","2.174","2.120","-0.47%"
"12/13/2024","2.140","2.122","2.165","2.122","2.20%"
"12/12/2024","2.094","2.080","2.098","2.053","3.41%"
"12/11/2024","2.025","2.036","2.070","2.013","-0.44%"
"12/10/2024","2.034","2.040","2.049","2.006","0.69%"
"12/09/2024","2.020","2.020","2.043","1.993","-0.15%"
"12/06/2024","2.023","2.064","2.082","2.022","-0.83%"
"12/05/2024","2.040","1.983","2.063","1.980","2.67%"
"12/04/2024","1.987","1.957","2.007","1.954","3.33%"
"12/03/2024","1.923","1.881","1.941","1.852","0.10%"
"12/02/2024","1.921","1.903","1.924","1.887","-1.44%"
"11/29/2024","1.949","1.967","1.988","1.934","-1.81%"
"11/28/2024","1.985","1.940","2.008","1.938","1.64%"
"11/27/2024","1.953","1.949","1.978","1.906","-1.86%"
"11/26/2024","1.990","2.018","2.022","1.945","-0.35%"
"11/25/2024","1.997","2.035","2.050","1.997","-3.25%"
"11/22/2024","2.064","2.128","2.140","2.042","-1.85%"
"11/21/2024","2.103","2.143","2.144","2.087","-0.38%"
"11/20/2024","2.111","2.143","2.147","2.085","0.29%"
"11/19/2024","2.105","2.100","2.108","2.050","-1.22%"
"11/18/2024","2.131","2.116","2.150","2.110","0.85%"
"11/15/2024","2.113","2.101","2.135","2.096","1.00%"
"11/14/2024","2.092","2.154","2.160","2.089","-2.15%"
"11/13/2024","2.138","2.161","2.161","2.110","1.09%"
"11/12/2024","2.115","2.116","2.128","2.070","0.19%"
"11/11/2024","2.111","2.151","2.165","2.107","-2.58%"
"11/08/2024","2.167","2.210","2.222","2.167","-2.30%"
"11/07/2024","2.218","2.190","2.325","2.188","1.51%"
"11/06/2024","2.185","2.124","2.190","2.124","0.46%"
"11/05/2024","2.175","2.141","2.185","2.130","2.89%"
"11/04/2024","2.114","2.123","2.150","2.109","3.58%"
"11/01/2024","2.041","2.088","2.111","2.041","-3.32%"
"10/31/2024","2.111","2.102","2.118","2.077","2.63%"
"10/30/2024","2.057","2.056","2.072","1.999","1.06%"
"10/29/2024","2.036","2.083","2.114","2.053","-1.14%"
"10/28/2024","2.059","2.116","2.123","2.035","-1.06%"
"10/25/2024","2.081","2.082","2.094","2.058","0.43%"
"10/24/2024","2.072","2.109","2.110","2.067","-2.17%"
"10/23/2024","2.118","2.136","2.136","2.079","0.28%"
"10/22/2024","2.112","2.144","2.175","2.108","0.38%"
