"Date","Price","Open","High","Low","Change %"
"03/28/2025","0.586","0.658","0.677","0.563","-6.76%"
"03/27/2025","0.628","0.689","0.709","0.641","-4.84%"
"03/26/2025","0.660","0.750","0.770","0.679","-5.10%"
"03/25/2025","0.696","0.781","0.786","0.712","0.80%"
"03/24/2025","0.691","0.756","0.766","0.690","3.45%"
"03/21/2025","0.668","0.795","0.795","0.669","0.45%"
"03/20/2025","0.664","0.744","0.744","0.639","-6.47%"
"03/19/2025","0.711","0.751","0.774","0.686","-0.91%"
"03/18/2025","0.717","0.761","0.815","0.715","2.28%"
"03/17/2025","0.701","0.780","0.802","0.725","-8.13%"
"03/14/2025","0.763","0.849","0.904","0.763","-1.55%"
"03/13/2025","0.775","0.849","0.888","0.792","-1.15%"
"03/12/2025","0.784","0.851","0.872","0.768","1.23%"
"03/11/2025","0.775","0.763","0.827","0.729","11.36%"
"03/10/2025","0.696","0.807","0.820","0.665","5.78%"
"03/07/2025","0.658","0.709","0.732","0.668","-4.71%"
"03/06/2025","0.690","0.678","0.732","0.664","11.92%"
"03/05/2025","0.617","0.554","0.653","0.553","31.73%"
"03/04/2025","0.468","0.589","0.589","0.463","-6.87%"
"03/03/2025","0.502","0.548","0.562","0.458","17.68%"
"02/28/2025","0.427","0.477","0.534","0.420","-3.72%"
"02/27/2025","0.444","0.508","0.525","0.459","-9.49%"
"02/26/2025","0.490","0.563","0.577","0.479","-5.04%"
"02/25/2025","0.516","0.616","0.616","0.541","-3.19%"
"02/24/2025","0.533","0.592","0.624","0.544","-3.70%"
"02/21/2025","0.553","0.583","0.616","0.564","-0.54%"
"02/20/2025","0.557","0.549","0.636","0.519","7.33%"
"02/19/2025","0.518","0.534","0.574","0.531","7.13%"
"02/18/2025","0.484","0.512","0.525","0.477","4.42%"
"02/17/2025","0.463","0.507","0.522","0.448","3.46%"
"02/14/2025","0.448","0.428","0.489","0.418","14.29%"
"02/13/2025","0.392","0.423","0.446","0.423","-0.63%"
"02/12/2025","0.394","0.429","0.434","0.383","4.92%"
"02/11/2025","0.376","0.388","0.414","0.388","9.30%"
