"Date","Price","Open","High","Low","Change %"
"03/28/2025","4.7005","4.7960","4.7960","4.6970","-1.83%"
"03/27/2025","4.7880","4.7810","4.8130","4.7110","1.23%"
"03/26/2025","4.7300","4.7540","4.7730","4.6960","-0.54%"
"03/25/2025","4.7555","4.7250","4.7630","4.7250","0.81%"
"03/24/2025","4.7175","4.7250","4.7330","4.6750","0.12%"
"03/21/2025","4.7120","4.6590","4.7160","4.6530","1.34%"
"03/20/2025","4.6495","4.6430","4.6630","4.5650","0.41%"
"03/19/2025","4.6305","4.6560","4.6560","4.6220","-0.38%"
"03/18/2025","4.6480","4.6500","4.6930","4.6450","0.13%"
"03/17/2025","4.6420","4.6790","4.6960","4.6260","-0.60%"
"03/14/2025","4.6700","4.6900","4.7230","4.6660","-0.26%"
"03/13/2025","4.6820","4.7270","4.7590","4.6760","-0.90%"
"03/12/2025","4.7245","4.6880","4.7390","4.6770","0.94%"
"03/11/2025","4.6805","4.6570","4.6880","4.6300","0.76%"
"03/10/2025","4.6450","4.6510","4.6510","4.6130","-0.05%"
"03/07/2025","4.6475","4.6720","4.6990","4.6060","-0.54%"
"03/06/2025","4.6725","4.7870","4.7910","4.6730","0.01%"
"03/05/2025","4.6720","4.6000","4.7080","4.5980","3.24%"
"03/04/2025","4.5255","4.5600","4.5600","4.4860","-0.75%"
"03/03/2025","4.5595","4.5420","4.6030","4.5250","1.70%"
"02/28/2025","4.4835","4.4960","4.5030","4.4640","-0.61%"
"02/27/2025","4.5110","4.5050","4.5360","4.4910","0.22%"
"02/26/2025","4.5010","4.5110","4.5160","4.4740","-0.18%"
"02/25/2025","4.5090","4.5420","4.5490","4.4890","-1.21%"
"02/24/2025","4.5640","4.5630","4.6000","4.5500","-0.16%"
"02/21/2025","4.5715","4.6130","4.6210","4.5720","-0.80%"
"02/20/2025","4.6085","4.5950","4.6360","4.5940","-0.03%"
"02/19/2025","4.6100","4.5790","4.6280","4.5730","1.16%"
"02/18/2025","4.5570","4.5700","4.5820","4.5430","0.65%"
"02/17/2025","4.5275","4.5600","4.5730","4.5180","0.63%"
"02/14/2025","4.4990","4.5020","4.5320","4.4830","0.20%"
"02/13/2025","4.4900","4.5650","4.5650","4.4690","-1.17%"
"02/12/2025","4.5430","4.5170","4.5810","4.5090","0.81%"
"02/11/2025","4.5065","4.4770","4.5190","4.4700","1.16%"
"02/10/2025","4.4550","4.4900","4.4940","4.4340","-0.47%"
"02/07/2025","4.4760","4.4960","4.5100","4.4360","-0.13%"
"02/06/2025","4.4820","4.4440","4.4880","4.3800","1.06%"
"02/05/2025","4.4350","4.4970","4.5000","4.4240","-1.90%"
"02/04/2025","4.5210","4.5220","4.5580","4.5100","0.70%"
"02/03/2025","4.4895","4.5370","4.5510","4.4480","-0.98%"
"01/31/2025","4.5340","4.5590","4.5720","4.5190","-0.56%"
"01/30/2025","4.5595","4.5990","4.5990","4.5400","-1.03%"
"01/29/2025","4.6070","4.5840","4.6170","4.5710","-0.10%"
"01/28/2025","4.6115","4.6010","4.6200","4.5830","0.58%"
"01/27/2025","4.5850","4.5900","4.6100","4.5590","-0.98%"
"01/24/2025","4.6305","4.6240","4.6670","4.5980","-0.11%"
"01/23/2025","4.6355","4.6200","4.6570","4.6160","0.11%"
"01/22/2025","4.6305","4.5990","4.6370","4.5690","0.92%"
"01/21/2025","4.5885","4.6450","4.6730","4.5820","-1.49%"
"01/20/2025","4.6580","4.6530","4.7070","4.6510","0.05%"
"01/17/2025","4.6555","4.6400","4.6640","4.6150","-0.53%"
"01/16/2025","4.6805","4.7290","4.7450","4.6680","-1.06%"
"01/15/2025","4.7305","4.8230","4.8390","4.6950","-3.14%"
"01/14/2025","4.8840","4.8530","4.8940","4.8380","-0.02%"
"01/13/2025","4.8850","4.9030","4.9050","4.8520","1.03%"
"01/10/2025","4.8350","4.8390","4.8890","4.8190","0.60%"
"01/09/2025","4.8060","4.8880","4.9250","4.7860","0.19%"
"01/08/2025","4.7970","4.6770","4.8210","4.6640","2.43%"
"01/07/2025","4.6830","4.6150","4.6890","4.6030","1.61%"
"01/06/2025","4.6090","4.6210","4.6370","4.5900","0.38%"
"01/03/2025","4.5915","4.5700","4.5980","4.5530","-0.04%"
"01/02/2025","4.5935","4.5810","4.5980","4.5230","0.60%"
"12/31/2024","4.5660","4.5950","4.6090","4.5500","-0.91%"
"12/30/2024","4.6080","4.6350","4.6430","4.5980","-0.39%"
"12/27/2024","4.6260","4.6260","4.6450","4.6100","0.70%"
"12/24/2024","4.5940","4.5690","4.6150","4.5670","1.12%"
"12/23/2024","4.5430","4.5560","4.5670","4.5310","0.78%"
"12/20/2024","4.5080","4.5930","4.6110","4.5100","-1.54%"
"12/19/2024","4.5785","4.6420","4.6560","4.5630","0.46%"
"12/18/2024","4.5575","4.5130","4.5790","4.5010","0.83%"
"12/17/2024","4.5200","4.4900","4.5330","4.4730","1.80%"
"12/16/2024","4.4400","4.4000","4.4480","4.3820","0.67%"
"12/13/2024","4.4105","4.3630","4.4140","4.3510","1.11%"
"12/12/2024","4.3620","4.3580","4.3670","4.3310","1.02%"
"12/11/2024","4.3180","4.3240","4.3470","4.2960","-0.09%"
"12/10/2024","4.3220","4.2920","4.3310","4.2800","1.21%"
"12/09/2024","4.2705","4.2650","4.2810","4.2410","-0.12%"
"12/06/2024","4.2755","4.2660","4.2980","4.2450","-0.13%"
"12/05/2024","4.2810","4.2460","4.2850","4.2340","0.80%"
"12/04/2024","4.2470","4.2730","4.2980","4.2400","0.12%"
"12/03/2024","4.2420","4.2290","4.2530","4.1940","0.77%"
"12/02/2024","4.2095","4.2430","4.2600","4.2100","-0.81%"
"11/29/2024","4.2440","4.2610","4.2670","4.2220","-0.64%"
"11/28/2024","4.2715","4.2900","4.3400","4.2740","-0.55%"
"11/27/2024","4.2950","4.3100","4.3300","4.2900","-1.31%"
"11/26/2024","4.3520","4.3620","4.3770","4.3430","0.21%"
"11/25/2024","4.3430","4.3670","4.3890","4.3200","-0.95%"
"11/22/2024","4.3845","4.4420","4.4550","4.3710","-1.21%"
"11/21/2024","4.4380","4.4780","4.4840","4.4210","-0.69%"
"11/20/2024","4.4690","4.4900","4.5040","4.4680","0.59%"
"11/19/2024","4.4430","4.4410","4.4640","4.3850","-0.47%"
"11/18/2024","4.4640","4.4800","4.5090","4.4640","-0.13%"
"11/15/2024","4.4700","4.5060","4.5230","4.4600","-0.26%"
"11/14/2024","4.4815","4.5650","4.5660","4.4800","-0.85%"
"11/13/2024","4.5200","4.5290","4.5400","4.4680","0.47%"
"11/12/2024","4.4990","4.4380","4.5020","4.4350","1.72%"
"11/11/2024","4.4230","4.4230","4.4670","4.4090","-0.19%"
"11/08/2024","4.4315","4.4720","4.4790","4.4180","-1.50%"
"11/07/2024","4.4990","4.5560","4.5880","4.4760","-1.36%"
"11/06/2024","4.5610","4.5160","4.5940","4.4790","0.74%"
"11/05/2024","4.5275","4.4830","4.5410","4.4660","1.63%"
"11/04/2024","4.4550","4.4500","4.4790","4.4190","0.28%"
