PERMNO,date,ticker,divamt,prc,ret,retx,vwretd,vwretx
89468,2023-01-03,TLT,,101.46,0.019084,0.019084,-0.003934,-0.003996
89468,2023-01-04,TLT,,102.85,0.0137,0.0137,0.009553,0.009515
89468,2023-01-05,TLT,,103.28,0.004181,0.004181,-0.01097,-0.011108
89468,2023-01-06,TLT,,105.18,0.018397,0.018397,0.022257,0.022239
89468,2023-01-09,TLT,,105.74,0.005324,0.005324,0.001059,0.00093
89468,2023-01-10,TLT,,103.99,-0.01655,-0.01655,0.007316,0.007316
89468,2023-01-11,TLT,,105.68,0.016252,0.016252,0.012571,0.012557
89468,2023-01-12,TLT,,107.76,0.019682,0.019682,0.005718,0.005618
89468,2023-01-13,TLT,,106.75,-0.009373,-0.009373,0.004322,0.004291
89468,2023-01-17,TLT,,106.06,-0.006464,-0.006464,-0.001146,-0.001149
89468,2023-01-18,TLT,,108.63,0.024232,0.024232,-0.014241,-0.014242
89468,2023-01-19,TLT,,107.95,-0.00626,-0.00626,-0.007486,-0.007574
89468,2023-01-20,TLT,,106.2,-0.016211,-0.016211,0.018067,0.018046
89468,2023-01-23,TLT,,105.7,-0.004708,-0.004708,0.011763,0.011753
89468,2023-01-24,TLT,,107.22,0.01438,0.01438,-0.001146,-0.001169
89468,2023-01-25,TLT,,107.48,0.002425,0.002425,0.000339,0.000303
89468,2023-01-26,TLT,,106.98,-0.004652,-0.004652,0.010381,0.010332
89468,2023-01-27,TLT,,106.71,-0.002524,-0.002524,0.003473,0.003443
89468,2023-01-30,TLT,,106.32,-0.003655,-0.003655,-0.012975,-0.013074
89468,2023-01-31,TLT,,107.17,0.007995,0.007995,0.01555,0.01553
89468,2023-02-01,TLT,0.2755,108.18,0.011995,0.009424,0.011137,0.011071
89468,2023-02-02,TLT,,108.32,0.001294,0.001294,0.013799,0.013759
89468,2023-02-03,TLT,,106.7,-0.014956,-0.014956,-0.010632,-0.010711
89468,2023-02-06,TLT,,105.91,-0.007404,-0.007404,-0.007223,-0.0073
89468,2023-02-07,TLT,,105.06,-0.008026,-0.008026,0.011465,0.011447
89468,2023-02-08,TLT,,105.56,0.004759,0.004759,-0.010374,-0.010397
89468,2023-02-09,TLT,,104.56,-0.009473,-0.009473,-0.00885,-0.008963
89468,2023-02-10,TLT,,103.39,-0.01119,-0.01119,0.001496,0.001347
89468,2023-02-13,TLT,,104.26,0.008415,0.008415,0.010859,0.010737
89468,2023-02-14,TLT,,104.02,-0.002302,-0.002302,0.000941,0.000806
89468,2023-02-15,TLT,,103.05,-0.009325,-0.009325,0.004435,0.00426
89468,2023-02-16,TLT,,101.59,-0.014168,-0.014168,-0.012705,-0.012778
89468,2023-02-17,TLT,,102.38,0.007776,0.007776,-0.002933,-0.003077
89468,2023-02-21,TLT,,100.39,-0.019437,-0.019437,-0.020457,-0.020474
89468,2023-02-22,TLT,,101.31,0.009164,0.009164,-0.000607,-0.000639
89468,2023-02-23,TLT,,102.3,0.009772,0.009772,0.004871,0.004808
89468,2023-02-24,TLT,,100.97,-0.013001,-0.013001,-0.01016,-0.010197
89468,2023-02-27,TLT,,101.25,0.002773,0.002773,0.003327,0.00321
89468,2023-02-28,TLT,,101.71,0.004543,0.004543,-0.002576,-0.002676
89468,2023-03-01,TLT,0.24977,100.37,-0.010719,-0.013175,-0.003159,-0.003259
89468,2023-03-02,TLT,,99.48,-0.008867,-0.008867,0.006503,0.00637
89468,2023-03-03,TLT,,101.89,0.024226,0.024226,0.015546,0.01548
89468,2023-03-06,TLT,,101.1,-0.007753,-0.007753,-0.00175,-0.001793
89468,2023-03-07,TLT,,101.72,0.006133,0.006133,-0.014599,-0.014625
89468,2023-03-08,TLT,,101.82,0.000983,0.000983,0.00127,0.001207
89468,2023-03-09,TLT,,102.07,0.002455,0.002455,-0.019276,-0.019425
89468,2023-03-10,TLT,,105.59,0.034486,0.034486,-0.016483,-0.016558
89468,2023-03-13,TLT,,105.83,0.002273,0.002273,-0.003098,-0.003125
89468,2023-03-14,TLT,,104.09,-0.016442,-0.016442,0.015863,0.015617
89468,2023-03-15,TLT,,106.1,0.01931,0.01931,-0.009262,-0.009299
89468,2023-03-16,TLT,,105.27,-0.007823,-0.007823,0.016293,0.016131
89468,2023-03-17,TLT,,106.85,0.015009,0.015009,-0.012043,-0.012103
89468,2023-03-20,TLT,,105.91,-0.008797,-0.008797,0.008716,0.008634
89468,2023-03-21,TLT,,105,-0.008592,-0.008592,0.013857,0.013792
89468,2023-03-22,TLT,,106.4,0.013333,0.013333,-0.01642,-0.016493
89468,2023-03-23,TLT,,106.4,0,0,0.001793,0.001597
89468,2023-03-24,TLT,,106.85,0.004229,0.004229,0.004737,0.004671
89468,2023-03-27,TLT,,104.34,-0.023491,-0.023491,0.003207,0.00319
89468,2023-03-28,TLT,,104.53,0.001821,0.001821,-0.000817,-0.000834
89468,2023-03-29,TLT,,104.32,-0.002009,-0.002009,0.013802,0.0138
89468,2023-03-30,TLT,,104.8,0.004601,0.004601,0.005538,0.005347
89468,2023-03-31,TLT,,106.37,0.014981,0.014981,0.014614,0.014581
89468,2023-04-03,TLT,0.26875,106.6,0.004689,0.002162,0.003122,0.003032
89468,2023-04-04,TLT,,107.13,0.004972,0.004972,-0.006606,-0.006686
89468,2023-04-05,TLT,,108.25,0.010455,0.010455,-0.004045,-0.004163
89468,2023-04-06,TLT,,108.53,0.002587,0.002587,0.003105,0.002962
89468,2023-04-10,TLT,,106.78,-0.016125,-0.016125,0.002154,0.002129
89468,2023-04-11,TLT,,107,0.00206,0.00206,0.001796,0.001793
89468,2023-04-12,TLT,,106.89,-0.001028,-0.001028,-0.003977,-0.004033
89468,2023-04-13,TLT,,106.05,-0.007859,-0.007859,0.012827,0.012703
89468,2023-04-14,TLT,,105.08,-0.009147,-0.009147,-0.00272,-0.002729
89468,2023-04-17,TLT,,103.83,-0.011896,-0.011896,0.003645,0.003633
89468,2023-04-18,TLT,,104.2,0.003563,0.003563,0.000652,0.000649
89468,2023-04-19,TLT,,104.1,-0.00096,-0.00096,-0.000454,-0.000456
89468,2023-04-20,TLT,,104.99,0.008549,0.008549,-0.005743,-0.005818
89468,2023-04-21,TLT,,104.4,-0.00562,-0.00562,0.000615,0.000596
89468,2023-04-24,TLT,,105.41,0.009674,0.009674,0.00038,0.000241
89468,2023-04-25,TLT,,106.96,0.014704,0.014704,-0.016696,-0.01673
89468,2023-04-26,TLT,,105.82,-0.010658,-0.010658,-0.004091,-0.004095
89468,2023-04-27,TLT,,104.77,-0.009923,-0.009923,0.017335,0.017269
89468,2023-04-28,TLT,,106.46,0.016131,0.016131,0.008072,0.007962
89468,2023-05-01,TLT,0.26799,103.13,-0.028762,-0.031279,-0.000652,-0.000727
89468,2023-05-02,TLT,,105.7,0.02492,0.02492,-0.01226,-0.012267
89468,2023-05-03,TLT,,106.29,0.005582,0.005582,-0.005189,-0.0052
89468,2023-05-04,TLT,,105.24,-0.009879,-0.009879,-0.006837,-0.006949
89468,2023-05-05,TLT,,104.89,-0.003326,-0.003326,0.018739,0.01865
89468,2023-05-08,TLT,,103.42,-0.014015,-0.014015,0.000849,0.000817
89468,2023-05-09,TLT,,103.05,-0.003578,-0.003578,-0.003907,-0.003962
