,CORN,COW.TO,CPER,GLD,USO,USO_mom_1m,USO_mom_3m,USO_mom_12m,GLD_mom_1m,GLD_mom_3m,GLD_mom_12m,CPER_mom_1m,CPER_mom_3m,CPER_mom_12m,CORN_mom_1m,CORN_mom_3m,CORN_mom_12m,COW.TO_mom_1m,COW.TO_mom_3m,COW.TO_mom_12m,CORN_ewma_1w_ewma_1m,CORN_ewma_1m,COW.TO_ewma_1w_ewma_1m,COW.TO_ewma_1m,CPER_ewma_1w_ewma_1m,CPER_ewma_1m,GLD_ewma_1w_ewma_1m,GLD_ewma_1m,USO_ewma_1w_ewma_1m,USO_ewma_1m,CORN_ewma_1w_1w,CORN,COW.TO_ewma_1w_1w,COW.TO,CPER_ewma_1w_1w,CPER,GLD_ewma_1w_1w,GLD,USO_ewma_1w_1w,USO,CORN_vol_1m,CORN_vol_3m,COW.TO_vol_1m,COW.TO_vol_3m,CPER_vol_1m,CPER_vol_3m,GLD_vol_1m,GLD_vol_3m,USO_vol_1m,USO_vol_3m,USD_Index,WTI_Oil,Copper_Spot,VIX,MOVE
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6031.20909090909,,
2020-01-02,14.899999618530273,44.58935546875,17.700000762939453,143.9499969482422,102.4800033569336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9746,61.17,6031.20909090909,12.470000267028809,57.20000076293945
2020-01-03,14.729999542236328,44.43524932861328,17.450000762939453,145.86000061035156,105.44000244140625,,,,,,,,,,,,,,,,-0.011409401385656825,-0.011409401385656825,-0.0034561194822545493,-0.0034561194822545493,-0.014124293176498326,-0.014124293176498326,0.013268521727000326,0.013268521727000326,0.028883674741530863,0.028883674741530863,-0.011409401385656825,-0.011409401385656825,-0.0034561194822545493,-0.0034561194822545493,-0.014124293176498326,-0.014124293176498326,0.013268521727000326,0.013268521727000326,0.028883674741530863,0.028883674741530863,,,,,,,,,,,114.9862,63.0,6031.20909090909,14.020000457763672,60.119998931884766
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9862,63.0,6031.20909090909,,
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.9862,63.0,6031.20909090909,,
2020-01-06,14.680000305175781,44.17839813232422,17.469999313354492,147.38999938964844,105.27999877929688,,,,,,,,,,,,,,,,-0.0066003894183919165,-0.00721105760471127,-0.0048506564808679315,-0.004673572417551946,-0.004962088060031711,-0.006125542677995724,0.011601109936767218,0.011812844767273008,0.010642978668968685,0.012959257535325786,-0.0066003894183919165,-0.0066003894183919165,-0.0048506564808679315,-0.0048506564808679315,-0.004962088060031711,-0.004962088060031711,0.011601109936767218,0.011601109936767218,0.010642978668968685,0.010642978668968685,,,,,,,,,,,114.9552,63.27,6031.20909090909,13.850000381469727,62.790000915527344
2020-01-07,14.670000076293945,44.055110931396484,17.520000457763672,147.97000122070312,105.04000091552734,,,,,,,,,,,,,,,,-0.0037965697142028237,-0.004824015256664106,-0.0038748720236728,-0.003985259587024757,-0.001255886683088608,-0.002840024368309586,0.007969865997089626,0.008933083421942498,0.004521750091845207,0.007388551867561517,-0.0037965697142028237,-0.0037965697142028237,-0.0038748720236728,-0.0038748720236728,-0.001255886683088608,-0.001255886683088608,0.007969865997089626,0.007969865997089626,0.004521750091845207,0.004521750091845207,,,,,,,,,,,115.1467,62.7,6031.20909090909,13.789999961853027,62.630001068115234
2020-01-08,14.710000038146973,44.07566452026367,17.59000015258789,146.86000061035156,101.27999877929688,,,,,,,,,,,,,,,,-0.0010869244281521667,-0.0026585474664999192,-0.0020715151529331413,-0.0027085199193587774,0.0009254237730409652,-0.0008796771402549974,0.0015432883472373167,0.004219775227077804,-0.012225584519710155,-0.004996389989897599,-0.0010869244281521667,-0.0010869244281521667,-0.0020715151529331413,-0.0020715151529331413,0.0009254237730409652,0.0009254237730409652,0.0015432883472373167,0.0015432883472373167,-0.012225584519710155,-0.012225584519710155,,,,,,,,,,,115.1318,59.65,6031.20909090909,13.449999809265137,60.4900016784668
2020-01-09,14.670000076293945,44.19894790649414,17.540000915527344,146.02999877929688,99.91999816894531,,,,,,,,,,,,,,,,-0.0017135464109106111,-0.0026731015443591513,-0.00020252641519070725,-0.0013881883332665563,-0.0005210229921027905,-0.001350388641218319,-0.0012187509259627839,0.0018524497540418018,-0.012687223762686932,-0.007018454339455799,-0.0017135464109106111,-0.0017135464109106111,-0.00020252641519070725,-0.00020252641519070725,-0.0005210229921027905,-0.0005210229921027905,-0.0012187509259627839,-0.0012187509259627839,-0.012687223762686932,-0.012687223762686932,,,,,,,,,,,115.2325,59.56,6031.20909090909,12.539999961853027,57.65999984741211
2020-01-10,14.779999732971191,44.09620666503906,17.6200008392334,146.91000366210938,99.27999877929688,,,,,,,,,,,,,,,,0.0016525768537577676,-0.0005499901570780883,-0.00097793078840332,-0.0015836321129013768,0.001336016562022448,-0.0001164811937113846,0.0014286494522327408,0.0027236516969998213,-0.010391657335577691,-0.0068904302255210935,0.0016525768537577676,0.0016525768537577676,-0.00097793078840332,-0.00097793078840332,0.001336016562022448,0.001336016562022448,0.0014286494522327408,0.0014286494522327408,-0.010391657335577691,-0.010391657335577691,,,,,,,,,,,115.0671,59.02,6031.20909090909,12.5600004196167,53.31999969482422
