Date,FXB,FXC,FXE,FXF,FXY,FXB_mom_1m,FXB_mom_3m,FXB_mom_12m,FXC_mom_1m,FXC_mom_3m,FXC_mom_12m,FXE_mom_1m,FXE_mom_3m,FXE_mom_12m,FXF_mom_1m,FXF_mom_3m,FXF_mom_12m,FXY_mom_1m,FXY_mom_3m,FXY_mom_12m,VIX,MOVE,US_T10Y,GBP_T10Y,JPY_T10Y,EUR_T10Y,CHF_T10Y,CAD_T10Y,US_T10Y_weekly_change,GBP_T10Y_weekly_change,JPY_T10Y_weekly_change,EUR_T10Y_weekly_change,CHF_T10Y_weekly_change,CAD_T10Y_weekly_change,VIX_weekly_change,MOVE_weekly_change
2023-11-03,114.08367156982422,69.80579376220703,96.30712127685547,99.00939178466797,62.150001525878906,0.017484635671887627,-0.024750235803802312,0.11224655181942378,0.006384285526041644,-0.015139976484996764,0.023633239404663664,0.018762478626084267,-0.01990460986578002,0.10561491319290406,0.015782508172138332,-0.028145336668267018,0.11242168710536027,-0.00671245278877719,-0.04677907308468843,-0.015991107092673373,14.90999984741211,118.73999786376953,4.576,4.287,0.916,2.638,1.124,3.745,,,,,,,,
2023-11-10,112.86520385742188,69.09407806396484,95.93741607666016,98.5595703125,61.22999954223633,0.006789300563207146,-0.027731802850779252,0.1042008538494994,-0.005967619498372656,-0.018606204575055685,0.00029678762465201736,0.016522449174924292,-0.014937959631184272,0.08205450032363437,0.007037036113141326,-0.026736200864338144,0.08830241705510344,-0.01273784117536958,-0.04193397452001879,-0.03862457430547084,14.170000076293945,116.79000091552734,4.646,4.334,0.857,2.71,1.162,3.84,0.015297202797202925,0.010963377653370632,-0.06441048034934505,0.02729340409401071,0.0338078291814945,0.025367156208277564,-0.049631105210682036,-0.01642241016779722
2023-11-17,114.97591400146484,69.57180786132812,98.02914428710938,100.40880584716797,62.0099983215332,0.026844368118044137,-0.016402833728792254,0.07094532005334075,0.0023080005777145196,-0.006349657433191935,-0.008970857997441906,0.03210248027487661,0.006639308230227403,0.0647265348339805,0.00781739496540923,-0.00827939477897699,0.06330763853019872,-0.00016127275325128476,-0.024386454031908644,-0.0735096662365039,13.800000190734863,113.11000061035156,4.439,4.102,0.752,2.59,1.005,3.684,-0.04455445544554448,-0.053530226119058444,-0.12252042007001163,-0.04428044280442811,-0.1351118760757315,-0.04062499999999991,-0.02611149495885201,-0.03150954941628503
2023-11-24,116.4533920288086,70.18602752685547,98.33074188232422,100.89861297607422,62.11000061035156,0.043696107997854394,0.009800378945251431,0.08688931462817973,0.016428503636114256,0.006182834450448649,0.00387969274989719,0.037186233509698186,0.0179283364118481,0.07800474715280403,0.01722375474730664,0.0030937803251378515,0.07681446523981439,0.003554713570411261,-0.02250551281982005,-0.060078709302296085,12.460000038146973,107.43000030517578,4.472,4.283,0.771,2.645,1.036,3.717,0.007434106780806582,0.04412481716235983,0.025265957446808596,0.021235521235521304,0.030845771144278666,0.008957654723126929,-0.09710145899038092,-0.05021660573358677
2023-12-01,117.46808624267578,70.78353118896484,97.82765197753906,102.30709075927734,63.209999084472656,0.04898561955260661,0.01748302628431264,0.08076218949572667,0.02938980586946216,0.013817282432111,0.017993357730164306,0.03152330713886009,0.014907003086639392,0.061431400224811306,0.04448479017528406,0.01891880104055943,0.08570819945766384,0.026636339090095884,-0.006444512013448422,-0.0642487604916876,12.630000114440918,111.51000213623047,4.209,4.143,0.704,2.361,0.791,3.422,-0.05881037567084091,-0.032687368666822425,-0.08690012970168615,-0.10737240075614363,-0.2364864864864865,-0.0793650793650793,0.013643665792414161,0.0379782353110365
2023-12-08,116.09245300292969,70.29508972167969,96.83336639404297,101.10749053955078,63.97999954223633,0.025108314816022492,0.010915101034574715,0.05502642927363843,0.017238491654337107,0.005004670676918677,0.02544971642342375,0.006990220118346269,0.006819035836467924,0.040188080801673465,0.022326329215596408,0.012818855953981467,0.06630477768287801,0.04100228596326683,0.008830043983905744,-0.06475667128675677,12.350000381469727,121.6500015258789,4.229,4.041,0.772,2.268,0.793,3.375,0.004751722499406252,-0.02461984069514833,0.09659090909090917,-0.039390088945362334,0.0025284450063212116,-0.013734658094681551,-0.022169416503096007,0.090933541345112
2023-12-15,117.30455017089844,71.46733856201172,98.05182647705078,102.15715026855469,65.2300033569336,0.024184675540515954,0.031670610300614355,0.04667387715324112,0.02552119769001293,0.014860124991806778,0.03503581048239046,0.0065247094068248135,0.024650827711055312,0.0364949381160411,0.020256095294618026,0.03086796995426444,0.05786123075853489,0.06463200374708244,0.03737280930184306,-0.054637632508208744,12.279999732971191,115.75,3.915,3.688,0.711,2.013,0.614,3.122,-0.07424923149680773,-0.08735461519425891,-0.07901554404145084,-0.11243386243386244,-0.22572509457755363,-0.07496296296296301,-0.005668068529258163,-0.04849980642724272
2023-12-22,117.65088653564453,72.0534439086914,99.18254852294922,103.9765625,65.08999633789062,0.01952232438922663,0.04888852038218805,0.07977813650404153,0.03393152147138512,0.019667947308277256,0.04715286895184034,0.01357648774466469,0.045467931774016535,0.054763237891997996,0.03306401314470908,0.06632765555444453,0.08027965611248966,0.04882363676362478,0.04294178011586136,-0.07673764059729615,13.029999732971191,111.37999725341797,3.901,3.505,0.625,1.969,0.697,3.214,-0.003575989782886424,-0.04962039045553157,-0.1209563994374121,-0.021857923497267673,0.13517915309446238,0.029468289557975647,0.061074919894850366,-0.03775380342619461
2023-12-29,118.12224578857422,72.17066192626953,99.4652328491211,105.74600219726562,65.80999755859375,0.0071120595447240476,0.053270130173347585,0.08888635388126587,0.027420387177665484,0.029817678820613702,0.048564346706338135,0.008046755913034609,0.05037919529867119,0.0582017552190095,0.03929051641423875,0.08849053939587281,0.10106443150244426,0.044768944355989326,0.05820869933787187,-0.051592475321288855,12.449999809265137,114.62000274658203,3.866,3.539,0.616,2.028,0.701,3.107,-0.008972058446552134,0.009700427960057212,-0.014399999999999968,0.02996444895886241,0.0057388809182210565,-0.03329184816428121,-0.04451265814215022,0.029089653196814336
2024-01-05,117.9476547241211,71.52462768554688,98.6076889038086,104.62625122070312,64.05000305175781,0.013125926399709664,0.05194656556854049,0.08401648669534678,0.017632576483290974,0.031164570322614216,0.029908046396240895,0.015665253032900228,0.04309849808973465,0.04995963351881816,0.029306580434593554,0.07340843095727001,0.09133616455068116,0.015860488926215055,0.02365356183717582,-0.0896816018171751,13.350000381469727,116.19000244140625,4.051,3.785,0.601,2.143,0.83,3.263,0.047853078116916636,0.06951116134501278,-0.024350649350649345,0.05670611439842199,0.18402282453637664,0.05020920502092041,0.07228920369418956,0.01369743201189233
