Date,FXB,FXC,FXE,FXF,FXY,FXB_mom_1m,FXB_mom_3m,FXB_mom_12m,FXC_mom_1m,FXC_mom_3m,FXC_mom_12m,FXE_mom_1m,FXE_mom_3m,FXE_mom_12m,FXF_mom_1m,FXF_mom_3m,FXF_mom_12m,FXY_mom_1m,FXY_mom_3m,FXY_mom_12m,EURUSD=X,GBPUSD=X,USDCAD=X,USDCHF=X,USDJPY=X,VIX,MOVE,US_T10Y,GBP_T10Y,JPY_T10Y,EUR_T10Y,CHF_T10Y,CAD_T10Y,US_T10Y_change,GBP_T10Y_change,JPY_T10Y_change,EUR_T10Y_change,CHF_T10Y_change,CAD_T10Y_change
2023-11-01,111.98253631591797,68.76262664794922,94.83805084228516,97.9498291015625,61.56999969482422,0.007948203386161756,-0.036204541832601356,0.08435107006139697,-0.00781977851116411,-0.03157858882838682,0.0021971298871934497,0.010906023962740097,-0.02940788133468497,0.08290269819387186,0.014272599863167645,-0.036181770913371714,0.0995290991769342,-0.014249109873421206,-0.05538509655491519,-0.019742105578015257,1.0579099655151367,1.215214490890503,1.387660026550293,0.9097999930381775,151.29400634765625,16.8700008392334,120.55000305175781,4.734,4.498,0.956,2.758,1.127,3.919,,,,,,
2023-11-02,112.47184753417969,69.41580963134766,95.32449340820312,98.17972564697266,61.75,0.006717225458915399,-0.03531140419128409,0.08837814424118062,0.003295221548320848,-0.019972022494457287,0.011533871241199645,0.011172500293574528,-0.030000385845569744,0.08905377520137825,0.01131514058716987,-0.03619453383261895,0.10038151525783134,-0.008987343298808792,-0.05739584817004595,-0.020463212195315883,1.05870521068573,1.2182197570800781,1.3834400177001953,0.9055500030517578,150.5749969482422,15.65999984741211,118.63999938964844,4.661,4.386,0.916,2.708,1.154,3.854,-0.0730000000000004,-0.1120000000000001,-0.039999999999999925,-0.04999999999999982,0.026999999999999913,-0.06499999999999995
2023-11-03,114.08366394042969,69.80580139160156,96.30712127685547,99.00939178466797,62.150001525878906,0.017484567627165548,-0.02475023741801896,0.11224647743745786,0.0063846169075865156,-0.015139762834924131,0.023633580325476577,0.01876280750625292,-0.01990491425426688,0.10561471951977563,0.015782508172138332,-0.028145263887545013,0.11242159174836952,-0.00671245278877719,-0.04677907308468843,-0.015991107092673373,1.0619093179702759,1.2191851139068604,1.3746999502182007,0.9060999751091003,150.4969940185547,14.90999984741211,118.73999786376953,4.576,4.287,0.916,2.638,1.124,3.745,-0.08499999999999996,-0.0990000000000002,-0.039999999999999925,-0.07000000000000028,-0.029999999999999805,-0.10899999999999999
2023-11-06,113.80542755126953,69.60107421875,96.24872589111328,98.94940185546875,61.91999816894531,0.010776635629466291,-0.023952919012336205,0.13081739617720523,-7.354695710148906e-05,-0.014930317625851619,0.023932476759423116,0.014082757845679028,-0.016334422403988746,0.1145236715996727,0.011846791236582499,-0.025962817220264722,0.12360830029663727,-0.004981542271756179,-0.04444451770337343,-0.017298844336191554,1.0732147693634033,1.237378716468811,1.3660600185394287,0.8992099761962891,149.44900512695312,14.890000343322754,121.73999786376953,4.647,4.38,0.875,2.738,1.197,3.816,0.07100000000000062,0.09299999999999997,-0.039999999999999925,0.10000000000000009,0.07299999999999995,0.07099999999999973
2023-11-07,113.46004486083984,69.25007629394531,96.02498626708984,98.76947784423828,61.72999954223633,0.007623525298598999,-0.02516458347112671,0.1074821257941061,-0.011197626023540463,-0.018821597381952104,-0.0011772287124960368,0.013591964830024894,-0.020364609488856766,0.08881825526430953,0.00609943136270652,-0.025721032239924946,0.10058043128318461,-0.01342496654442804,-0.04501856242093527,-0.0295551179071879,1.0721560716629028,1.2345526218414307,1.369729995727539,0.8992000222206116,149.98899841308594,14.8100004196167,120.08999633789062,4.569,4.279,0.881,2.667,1.172,3.759,-0.07800000000000029,-0.10099999999999998,0.006000000000000005,-0.07100000000000017,-0.025000000000000133,-0.05699999999999994
2023-11-08,113.24897003173828,69.10384368896484,96.16117095947266,98.89944458007812,61.459999084472656,0.0012401027858706115,-0.0237055659580222,0.09292479221846639,-0.013833645666524008,-0.01927721984110209,-0.002460813819676666,0.0118146920296065,-0.019459364590684203,0.08387400749800578,0.005989319537030413,-0.02520783693029549,0.09641152364174843,-0.016167794405224756,-0.042231559323686274,-0.0344069503362987,1.0696102380752563,1.2291808128356934,1.3768500089645386,0.8999699950218201,150.39599609375,14.449999809265137,117.0999984741211,4.492,4.245,0.848,2.614,1.096,3.704,-0.07699999999999996,-0.03399999999999981,-0.03300000000000003,-0.052999999999999936,-0.07599999999999985,-0.054999999999999716
2023-11-09,112.70211029052734,68.95761108398438,95.77203369140625,98.43962097167969,61.349998474121094,-0.005697348710870909,-0.030090960256560773,0.08499788135857766,-0.014689161573364418,-0.020948981938426203,-0.008811720535809475,0.006794421412288365,-0.019946569931041158,0.07414214527536545,-0.0014289758598736713,-0.030026842382306906,0.08805881516604463,-0.014774401427322892,-0.043647747235489254,-0.04305103899476215,1.0710422992706299,1.2285012006759644,1.3793200254440308,0.8990799784660339,150.86399841308594,15.289999961853027,117.05000305175781,4.632,4.273,0.84,2.653,1.111,3.857,0.13999999999999968,0.02799999999999958,-0.008000000000000007,0.039000000000000146,0.014999999999999902,0.15300000000000002
2023-11-10,112.86520385742188,69.09408569335938,95.93741607666016,98.5595703125,61.22999954223633,0.006789232044815963,-0.027731802850779252,0.10420118352470209,-0.005967946162478421,-0.018606096209177303,0.00029678759187068415,0.01652253134922943,-0.014937959631184272,0.08205431410195074,0.00703695761088774,-0.026736200864338144,0.08830250873845813,-0.01273784117536958,-0.04193397452001879,-0.03862457430547084,1.0667576789855957,1.2217023372650146,1.3806999921798706,0.9031500220298767,151.3489990234375,14.170000076293945,116.79000091552734,4.646,4.334,0.857,2.71,1.162,3.84,0.014000000000000234,0.06099999999999994,0.017000000000000015,0.05699999999999994,0.050999999999999934,-0.017000000000000348
2023-11-13,113.27774047851562,69.12333679199219,96.09307861328125,98.59954833984375,61.22999954223633,0.013063036539016082,-0.02529653127291298,0.07387541371847473,-0.008876549742448447,-0.01588785371573964,-0.01455371690483076,0.019745481239886065,-0.013633662179229233,0.06445026344381555,0.0003961753519481359,-0.026149121791718466,0.06742155835334329,-0.013374183253110572,-0.04208383453953046,-0.07367623365061693,1.069015622138977,1.2228227853775024,1.379889965057373,0.9019799828529358,151.468994140625,14.760000228881836,124.47000122070312,4.638,4.318,0.876,2.72,1.137,3.84,-0.008000000000000007,-0.016000000000000014,0.019000000000000017,0.010000000000000231,-0.02499999999999991,-0.017000000000000348
2023-11-14,115.31170654296875,69.68881225585938,97.74700164794922,100.08893585205078,61.810001373291016,0.02528755312517572,-0.009903236828700313,0.08077107180720255,-0.0031327223297020756,-0.0045407990786316965,-0.011208413091741698,0.03219205568146544,0.005840786000515852,0.06555043549699291,0.012632220997832233,-0.009287231069224022,0.056008248529368254,-0.004990302059304064,-0.026460864085085856,-0.08171143046788787,1.0701825618743896,1.228063702583313,1.3801499605178833,0.901199996471405,151.64599609375,14.15999984741211,124.11000061035156,4.453,4.156,0.856,2.602,1.036,3.692,-0.1849999999999996,-0.16199999999999992,-0.020000000000000018,-0.11800000000000033,-0.10099999999999998,-0.017000000000000348
