Price,Open,Open,Open,Open,Open,Open,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,IEF,IEI,SHV,SHY,TLH,TLT,IEF,IEI,SHV,SHY,TLH,TLT,IEF,IEI,SHV,SHY,TLH,TLT,IEF,IEI,SHV,SHY,TLH,TLT,IEF,IEI,SHV,SHY,TLH,TLT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-04,108.53749067150322,122.47858717915804,98.20722838752448,78.84938218792469,139.60204359670638,138.99721607456556,108.88210922299788,122.63527844037397,98.20722838752448,78.87676883998827,140.73945089088636,140.3368792850786,108.51028485415874,122.46014877655018,98.1983413696289,78.84938218792469,139.47860394110614,138.88187607968314,108.80956268310547,122.60762786865234,98.1983413696289,78.86763763427734,140.3074188232422,139.76907348632812,5499000,848800,6406600,2989300,263500,13152900
2021-01-05,108.70981138632209,122.60763096505983,98.1983413696289,78.86763763427734,139.84893308574334,139.2456246837185,108.72794629285667,122.60763096505983,98.20722838752448,78.87676883998827,139.86657116751658,139.2456246837185,108.44681026755606,122.45093969988673,98.1983413696289,78.84938218792469,139.03775622506157,138.10114603154878,108.55563354492188,122.50624084472656,98.1983413696289,78.86763763427734,139.45216369628906,138.73104858398438,5004400,992800,3451400,2529400,466700,10458100
2021-01-06,108.02959889461465,122.29427071163649,98.19834259625122,78.84024574761166,137.7681037646677,136.46870168828107,108.02959889461465,122.29427071163649,98.20722961425781,78.84937695271631,137.8121922486557,136.49531652554506,107.71217933365394,122.10992881926393,98.1894623570532,78.80372789226176,136.78939861736686,135.11127730003275,107.92076873779297,122.21131896972656,98.20722961425781,78.82198333740234,137.2831573486328,135.88314819335938,10039300,870900,1952500,2082000,366100,22827300
2021-01-07,107.53990173339844,122.04540317233949,98.19834259625122,78.83111690253213,136.2602953113824,134.66761604041807,107.61245519028209,122.09149215687877,98.20722961425781,78.84024810791016,136.63062762783247,135.0047552058149,107.44921337183311,122.02696476564708,98.19834259625122,78.81286145684503,135.99579144807467,134.1974027505492,107.53990173339844,122.06382751464844,98.20722961425781,78.84024810791016,136.35728454589844,134.68536376953125,7751700,1404100,1798300,4207700,338900,14651900
2021-01-08,107.33131139665281,121.95324459079913,98.1983413696289,78.81286790487012,136.01345538449888,134.3926584586445,107.40386485294297,121.99012141004643,98.20722838752448,78.83112335205078,136.33969933339557,134.81852295799413,107.13179285139407,121.86108067145223,98.1894611305418,78.81286790487012,135.50205867776822,133.6651636296487,107.23155212402344,121.9163818359375,98.1983413696289,78.83112335205078,135.90765380859375,134.25071716308594,8378700,1000600,2267100,2760300,409400,13622500
2021-01-11,107.14994483733835,121.88865870180501,98.19834862353215,78.82198333740234,135.68726243478937,133.96674408344447,107.15901575000453,121.88865870180501,98.2072356420842,78.831114542507,135.74898900708973,134.15306140591102,107.00483791099576,121.81491917158813,98.18946838378906,78.81285909736641,135.38748225083197,133.51427849681366,107.02297973632812,121.83334350585938,98.18946838378906,78.82198333740234,135.62554931640625,134.0288543701172,6061000,616400,1823900,2545700,302700,8370700
2021-01-12,106.8053108584136,121.72278100260269,98.18946838378906,78.80372789226176,135.3433636614905,133.78046950512834,107.05017704738609,121.83338330186682,98.19834862353215,78.82198333740234,135.73132073275562,134.108741698403,106.62393413397945,121.6490414482993,98.18946838378906,78.80372789226176,134.81432884541738,133.01747931645437,107.00482940673828,121.80573272705078,98.18946838378906,78.82198333740234,135.66078186035156,133.92242431640625,6516600,1111000,1512600,4048300,450400,12186300
2021-01-13,107.16808897198725,121.86107322874712,98.18946838378906,78.81285858154297,136.057542860459,134.55234738894865,107.51271449218754,121.99932613151647,98.19834862353215,78.82198282151917,136.99215931786378,135.80329884604154,107.14088315072506,121.86107322874712,98.18946838378906,78.81285858154297,136.0222801533873,134.47250287999972,107.37667846679688,121.96246337890625,98.18946838378906,78.81285858154297,136.6042022705078,135.4306640625,7562900,1233100,1815200,2021800,281000,12533300
